"","AY111","AY125","AY126","AY129","AY138","AY142","AY159","AY191","AY198","AY207","AY208","AY218","AY224","AY236","AY24","AY241","AY244","AY245","AY254","AY263","AY268","AY284","AY289","AY29","AY293","AY300","AY309","AY328","AY331","AY339","AY353","AY365","AY37","AY381","AY389","AY409","AY410","AY416","AY418","AY432","AY438","AY439","AY456","AY457","AY458","AY459","AY46","AY465","AY466","AY487","AY489","AY492","AY493","AY495","AY528","AY533","AY536","AY537","AY538","AY545","AY553","AY562","AY566","AY571","AY572","AY574","AY586","AY595","AY601"
"A-rep2",0.00278134803827553,NA,NA,NA,NA,4.28602562175902e-05,NA,0.00282017421000487,0.000370047989870702,3.91670500965242e-05,NA,0.00125334560308877,3.80960250519291e-05,0.00145981371937006,0.00451831321838003,0.00501338241235509,0.000949858347082311,0.00155378219483382,0.000505500451094423,0.0100965064893554,NA,NA,0.00344805857926037,5.97790708976395e-05,0.00897420589841433,0.0134150849443399,0.0181989622885696,3.20348109015829e-05,0.00121907280166173,NA,3.86278257437219e-05,0.00161976473791883,0.00349619168331239,NA,1.22233562864627e-05,0.000232577636241196,0.00203606593914281,0.0020502278977013,NA,NA,NA,NA,NA,0.00103942400630211,7.69273528310897e-07,0.000685764099481443,0.0555526675729106,NA,NA,0.00156458960466723,0.00105393382471135,0.000328914447476975,0.00151129393900624,NA,0.000911165030797663,0.00604517575602496,0.0046132525837091,0.000181216256180304,0.00369553768252185,NA,0.0291572809855252,7.51430916348216e-05,3.91670500965242e-05,NA,0.00739107536504371,0.00340058813787549,NA,NA,1.74299516721611e-06
"A-rep3",NA,NA,NA,NA,NA,NA,NA,0.00179724150512671,0.000886249175114415,NA,NA,0.0010612645141856,6.7722746097891e-05,0.00129754474032862,0.00382586053744894,0.00393342011740906,0.00136205436167032,0.00153239081620459,0.000484908445037616,0.00860863371778602,NA,NA,0.00312917920933446,4.14002785475974e-05,0.00511872423382173,0.0136969643955631,0.0158431168717192,4.75564318640442e-05,0.000911165030797665,NA,NA,0.00134330255677709,0.00230662629185455,NA,NA,0.000136387590096707,0.000904871154189816,0.00160857620560073,NA,NA,NA,NA,NA,0.00014217939287945,1.9474260820526e-06,0.00116133507324484,0.0445015686124085,NA,NA,0.00120228946615715,0.00108356393756626,0.000101235296119927,0.000838442809021245,NA,0.00111402706627776,0.00556269607655107,0.00407213187828564,0.000844274639949087,0.00278134803827553,NA,0.0246887909957305,0.000313336400772193,4.5304064045076e-05,NA,0.00575886413004337,0.00321715241120146,NA,NA,NA
"B-rep1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4549812627975,NA,NA,NA,NA,NA,0.0175790388232626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0139847667332496,NA,NA,NA,1.69349062472505,NA,NA,NA,NA,0.0266448403677486,NA,NA,NA,NA,NA,0.00567958014578246,NA,NA,NA,NA,NA
"B-rep2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.4201473433689,NA,NA,NA,NA,NA,0.0299770037289145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00849011611348484,NA,NA,NA,1.69349062472506,NA,NA,NA,NA,0.000750427334613288,0.00310756438966765,NA,NA,NA,NA,0.000502008704421908,NA,NA,NA,0.00158643046163327,NA
"B-rep3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.42537113513,NA,NA,NA,NA,NA,0.0128686096448058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.01049349482213,NA,NA,NA,NA,0.0105984713081849,0.103664943226805,NA,NA,NA,NA,NA,NA,NA,NA,0.0145786404927626,NA
"C-rep1",0.00202200180437769,NA,NA,NA,NA,6.46015405550024e-06,NA,0.000644290972057078,0.000484908445037616,8.05363715071348e-05,NA,0.0014297711874469,NA,0.00141008710500244,0.00471018682691703,0.00390625,0.000943297196215669,0.00163103109263354,0.000375213667306644,0.00699238336662478,NA,NA,0.00323952947583766,4.82202949135362e-05,0.00461325258370911,0.0136023525515019,0.0184530103348364,3.75715458174108e-05,0.000886249175114415,NA,NA,0.00132480891352312,0.00287943206502168,2.89099992086487e-06,3.7832876585052e-05,0.00035992900812771,0.00159746495812067,0.00161976473791883,NA,NA,NA,NA,NA,NA,4.92335058118974e-05,0.000254508242392852,0.0272047051030039,NA,NA,0.00146996752676862,0.00135264596495207,6.679038703984e-05,0.000605326025360833,NA,0.000685764099481445,NA,0.00638985983248267,0.00075564696950312,0.00270529192990415,NA,0.023683071351725,0.000148217148974005,4.47401027386429e-06,NA,0.00587987010707448,0.00315094437196143,2.04697951421202e-07,NA,NA
"C-rep2",NA,NA,1.03500696368994e-05,NA,NA,5.1106141211333e-07,NA,0.00242130410144333,0.000644290972057077,1.71670301008424e-05,NA,0.000997082154010932,NA,0.00112957830459501,0.00442532767693671,0.00298097501750109,0.000804288102800364,0.00155378219483383,0.00037782348475156,0.00786684023481812,NA,NA,0.00361948461675926,3.55448482198625e-05,0.00694408344661382,0.0144779384670371,0.020760715845258,6.77227460978909e-05,0.0010612645141856,NA,NA,0.00111402706627776,0.00300170933845315,1.10929299722314e-05,NA,0.000270890984391563,0.00121907280166173,0.00166530252298429,NA,2.11633581555909e-06,NA,NA,NA,0.000592868595896019,4.05482731352695e-05,0.00048828125,0.0287558640820273,NA,3.32532803142167e-07,0.00125334560308877,0.00121907280166173,0.000203878886579192,NA,NA,0.000509016484785703,0.00477593858473464,0.00494436169519641,0.000282394576148752,0.0020933075440162,NA,0.0210505246385264,0.000185023994935352,6.77227460978909e-05,NA,0.00670754247216996,0.00233882559495885,NA,NA,3.84636764155447e-07
"C-rep3",0.00240457893231429,NA,8.28005570951949e-05,NA,NA,1.24105630439943e-06,NA,0.00157547218598072,0.000461942210315232,2.71253259633352e-05,NA,0.00129754474032862,NA,0.00138106793200498,0.00511872423382173,0.00401606963537526,0.000956465134362232,0.00196671005870453,0.000538039607361627,0.00775853512060183,NA,NA,0.00354499670045766,NA,0.00903662643676006,0.0155170702412037,0.0193704328115466,0.00013358077407968,0.00119398464618366,NA,NA,0.00157547218598072,0.0024721808475982,NA,4.82202949135362e-05,0.000949858347082311,0.00167688561804249,0.00151129393900624,NA,1.56877720131846e-05,NA,NA,NA,0.000229375671194827,6.72549509202033e-05,0.000313336400772193,0.0330318137675431,NA,4.69017084133305e-05,0.00167688561804249,0.00116133507324484,5.85488354080362e-05,0.00112957830459501,NA,0.000787736092990358,0.00621512877933529,0.00643430482240291,0.000588773353364629,0.00282017421000488,NA,0.0248605151173412,NA,NA,NA,0.00529923565409247,0.00310756438966765,3.814697265625e-06,NA,1.39626092524111e-06
"D-rep1",NA,NA,0.000132658064273201,NA,NA,NA,5.28377330059404e-06,0.00133402368823671,0.000220031851223347,3.75715458174108e-05,2.31589295271883e-06,0.00107607921472325,6.49640003938818e-05,0.00117754670672926,0.00694408344661382,0.00191293026872446,0.0011374351430356,0.00154304943723316,0.000280443934325448,0.00831539205041687,6.86681204033696e-05,3.36274754601017e-05,0.00415769602520844,6.49640003938818e-05,0.0078125,0.0118415356758625,0.0142786164098344,0.000107751830601887,0.00191293026872446,9.77868502917019e-05,NA,0.00280069384378091,0.00321715241120145,NA,NA,0.000815515546316766,0.00230662629185455,0.000815515546316766,7.77930070385291e-05,NA,5.50815275391578e-06,7.0110983581362e-05,NA,0.000491677514676132,4.56191787303142e-05,0.0113591602915649,0.0259162358067013,NA,1.23939879815099e-05,0.00161976473791883,0.00105393382471135,0.000214015068680672,0.000576656572963637,1.71670301008424e-05,NA,0.00604517575602496,0.00427458477054976,6.27510880527384e-05,0.00248937622523293,6.64177370678806e-06,0.119079749755492,7.25834420778028e-05,0.000215503661203773,NA,0.00803213927075051,0.00164237581104241,NA,NA,NA
"D-rep2",NA,NA,1.49447677244099e-05,NA,1.34689788252358e-05,NA,NA,0.00134330255677709,6.58708640444597e-05,NA,2.31589295271883e-06,0.00110633191923418,NA,0.00148019195948281,0.00704101923914711,0.00192623575096359,0.0010466537720081,0.00163103109263353,0.000644290972057077,0.00849011611348482,NA,3.8096025051929e-05,0.00445610826511103,2.07001392737987e-05,0.00656950324416964,0.0133224201838743,0.0136969643955631,0.000123774350560306,0.00170029406893774,3.6544149921232e-05,4.08849129690664e-06,0.00245510424711295,0.00304361163929883,NA,NA,0.00112177573730179,0.00250669120617755,0.00151129393900624,NA,1.1107765068707e-06,2.1045279414431e-07,3.36274754601016e-05,NA,0.000176260888125305,9.84670116237947e-05,0.0136023525515019,0.0299770037289145,NA,1.76732647302698e-06,0.00126206331116943,0.0019803896089649,5.46279950517561e-05,0.000560887868650896,8.16606173575508e-05,0.000874047920828097,0.00604517575602496,0.00544821744668127,0.000113895628849708,0.00347204172330692,2.01340928767837e-05,0.133971682817037,0.000245838757338066,0.00026716154815936,NA,0.00656950324416964,0.00312917920933446,NA,NA,NA
