"name.x","day","height","mean","std","n","se","name.y","class"
"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","01","bottom",1531764.20633195,812366.652358489,8,287214.984346251,NA,"unknown"
"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","01","middle",535123.187037941,345296.908677282,8,122080.892824229,NA,"unknown"
"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","01","top",565916.150049801,233208.559201031,6,95206.9956153613,NA,"unknown"
"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","04","bottom",770471.847257835,19574.5052848247,2,13841.2654252715,NA,"unknown"
"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","08","bottom",400181.216135363,255691.452756576,4,127845.726378288,NA,"unknown"
"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","15","bottom",731796.76788404,128689.853940398,2,90997.4683911615,NA,"unknown"
"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","18","bottom",565111.072565123,97818.1368572072,2,69167.867894765,NA,"unknown"
"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","25","bottom",646976.680926372,92227.4720403257,2,65214.670891407,NA,"unknown"
"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","29","bottom",628483.677342906,49505.4391103016,2,35005.631700512,NA,"unknown"
"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","29","middle",602974.799170485,90393.3362868573,4,45196.6681434286,NA,"unknown"
"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","29","top",559479.165784949,20867.7616036717,2,14755.7357381405,NA,"unknown"
"1 deoxymannojirimycin","01","top",181922.933655581,35219.1771599719,2,24903.7189976265,NA,"unknown"
"1 deoxymannojirimycin","04","bottom",156837.747509493,27617.0548431639,2,19528.206756002,NA,"unknown"
"1 deoxymannojirimycin","11","bottom",254278.92481409,63166.2433770593,2,44665.2790339985,NA,"unknown"
"1 deoxymannojirimycin","22","bottom",1009715.15876654,37676.125907515,2,26641.044118042,NA,"unknown"
"1 deoxymannojirimycin","29","bottom",295569.632559542,16848.5685976012,2,11913.7371086505,NA,"unknown"
"1 deoxymannojirimycin","29","middle",1059180.73181984,227894.574507447,2,161145.799029839,NA,"unknown"
"1 deoxymannojirimycin","29","top",308686.568986128,41428.1949667658,2,29294.1575933185,NA,"unknown"
"2 4 6 2 4 diamino 6 oxo 1 3 diazinan 5 yl 1 1 1 trifluoro 2 2 dihydroxyhexan 3 yl phenyl formamido pentanedioic acid","18","bottom",128054.630504945,1713.78393280859,2,1211.8282403775,NA,"unknown"
"2 4 6 2 4 diamino 6 oxo 1 3 diazinan 5 yl 1 1 1 trifluoro 2 2 dihydroxyhexan 3 yl phenyl formamido pentanedioic acid","22","bottom",240296.121337468,22065.9249151574,2,15602.965140661,NA,"unknown"
"2 4 6 2 4 diamino 6 oxo 1 3 diazinan 5 yl 1 1 1 trifluoro 2 2 dihydroxyhexan 3 yl phenyl formamido pentanedioic acid","29","bottom",367023.1404861,22419.4659070625,2,15852.9563734645,NA,"unknown"
"2 4 6 2 4 diamino 6 oxo 1 3 diazinan 5 yl 1 1 1 trifluoro 2 2 dihydroxyhexan 3 yl phenyl formamido pentanedioic acid","29","middle",830997.050126764,10914.958834628,2,7718.04140833748,NA,"unknown"
"2 4 6 2 4 diamino 6 oxo 1 3 diazinan 5 yl 1 1 1 trifluoro 2 2 dihydroxyhexan 3 yl phenyl formamido pentanedioic acid","29","top",936928.504626887,44407.6683000577,4,22203.8341500288,NA,"unknown"
"3 4 methoxy 2 methylphenyl 2 5 dimethyl n 1 3 methyl 1 2 4 oxadiazol 5 yl propyl pyrazolo 1 5 a pyrimidin 7 amine","01","middle",2266001.76594308,118725.05965815,2,83951.2947810551,NA,"unknown"
"3 4 methoxy 2 methylphenyl 2 5 dimethyl n 1 3 methyl 1 2 4 oxadiazol 5 yl propyl pyrazolo 1 5 a pyrimidin 7 amine","04","bottom",2277812.29858737,207506.995279805,2,146729.603505995,NA,"unknown"
"3 4 methoxy 2 methylphenyl 2 5 dimethyl n 1 3 methyl 1 2 4 oxadiazol 5 yl propyl pyrazolo 1 5 a pyrimidin 7 amine","15","bottom",3286547.25818171,17889.8016314352,2,12650.00004767,NA,"unknown"
"3 4 methoxy 2 methylphenyl 2 5 dimethyl n 1 3 methyl 1 2 4 oxadiazol 5 yl propyl pyrazolo 1 5 a pyrimidin 7 amine","29","bottom",2280837.21091615,192001.749840386,2,135765.73931182,NA,"unknown"
"4 methoxy 4 oxobutan 2 yl 3 3 hydroxybutanoyl oxy butanoate","04","bottom",182058.621246565,7200.21157118323,2,5091.31842796151,NA,"unknown"
"4 methoxy 4 oxobutan 2 yl 3 3 hydroxybutanoyl oxy butanoate","11","bottom",138665.540141731,12640.7226046859,2,8938.34067287149,NA,"unknown"
"5 hydroxy 4 2r 6 hydroxy 5 3e 4 methyl 6 2 6 6 trimethyl 1 cyclohexen 1 yl 3 hexen 1 yl 5 6 dihydro 2h pyran 2 yl 2 5h furanone","18","bottom",459606.028156281,101159.650973474,2,71530.6751858075,NA,"unknown"
