"","peak_number","name","formula","calc_mw","m_z","std","n","se","01-bottom-half","01-middle-half","01-bottom-quarter","01-top-quarter","29-middle-half","01-middle-quarter","01-top-half","04-bottom-half","08-bottom-half","15-bottom-half","18-bottom-half","25-bottom-half","29-bottom-quarter","29-top-half","11-bottom-half","22-bottom-half","29-top-quarter","29-bottom-half","29-middle-quarter"
"1",1509,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2",262.07435,263.08161,135079.566816954,2,95515.6776960099,2680179.84395501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1509,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2",262.07435,263.08161,22567.2625189266,2,15957.46435995,NA,1064649.46804457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1510,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2",262.07434,263.08162,93324.0009847659,2,65990.033943788,1000572.72834048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1510,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2",262.07434,263.08162,10479.9616717719,2,7410.45196468499,NA,NA,1723174.31300399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1510,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2",262.07434,263.08162,12780.2223154651,2,9036.98186433702,NA,387931.765725109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1510,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2",262.07434,263.08162,1787.44064966982,2,1263.91140435002,NA,NA,NA,323393.859701833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1510,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2",262.07434,263.08162,6594.06517798604,2,4662.70820294,NA,NA,NA,NA,649162.863289789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1512,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2",262.07434,263.08162,97011.4411396286,2,68597.447882511,NA,NA,723129.940028328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1512,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2",262.07434,263.08162,22746.5357626399,2,16084.229686265,NA,NA,NA,NA,NA,488100.089263182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1512,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2",262.07434,263.08162,40369.8468655537,2,28545.7924740955,NA,NA,NA,NA,NA,NA,840348.031254113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1512,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2",262.07434,263.08162,1399.81852970572,2,989.821174785495,NA,NA,NA,534006.559193457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1512,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2",262.07434,263.08162,19574.5052848247,2,13841.2654252715,NA,NA,NA,NA,NA,NA,NA,770471.847257835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1512,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2",262.07434,263.08162,5740.83715204903,2,4059.38487990154,NA,NA,NA,NA,NA,NA,NA,NA,621287.604214679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
