"peak_number","unique_id","compounds_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample","group_area","peak_rating","replicate","sample_location","sample_name","mass_list_name","mass_list_match"
1509,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_10.785",3374,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2","Full match","Partial match","Full match",0.46,262.07435,263.08161,10.785,5512914.00719433,10,89,55.4,"PreferredDDA","[M+H]+1","a4_a",2584664.166259,8.9,"a","a4","01-bottom-half","antibiotics_itn_msca_answer_160616_w_dtxsi_ds","Single match found"
1509,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_10.785",3374,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2","Full match","Partial match","Full match",0.46,262.07435,263.08161,10.785,5512914.00719433,10,89,55.4,"PreferredDDA","[M+H]+1","a4_b",2775695.52165102,9.5,"b","a4","01-bottom-half","antibiotics_itn_msca_answer_160616_w_dtxsi_ds","Single match found"
1509,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_10.785",3374,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2","Full match","Partial match","Full match",0.46,262.07435,263.08161,10.785,5512914.00719433,10,89,55.4,"PreferredDDA","[M+H]+1","a5_a",1048692.00368462,8.6,"a","a5","01-middle-half","antibiotics_itn_msca_answer_160616_w_dtxsi_ds","Single match found"
1509,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_10.785",3374,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2","Full match","Partial match","Full match",0.46,262.07435,263.08161,10.785,5512914.00719433,10,89,55.4,"PreferredDDA","[M+H]+1","a5_b",1080606.93240452,8.6,"b","a5","01-middle-half","antibiotics_itn_msca_answer_160616_w_dtxsi_ds","Single match found"
1512,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_12.299",35824,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2","Full match","Partial match","Full match",0.43,262.07434,263.08162,12.299,868893.823728209,12,91.1,9.6,"PreferredDDA","[M+H]+1","a1_a",654532.492145817,5.3,"a","a1","01-bottom-quarter","antibiotics_itn_msca_answer_160616_w_dtxsi_ds","Single match found"
1512,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_12.299",35824,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2","Full match","Partial match","Full match",0.43,262.07434,263.08162,12.299,868893.823728209,12,91.1,9.6,"PreferredDDA","[M+H]+1","a1_b",791727.387910839,7.5,"b","a1","01-bottom-quarter","antibiotics_itn_msca_answer_160616_w_dtxsi_ds","Single match found"
1512,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_12.299",35824,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2","Full match","Partial match","Full match",0.43,262.07434,263.08162,12.299,868893.823728209,12,91.1,9.6,"PreferredDDA","[M+H]+1","a10_a",784313.112683106,8,"a","a10","04-bottom-half","antibiotics_itn_msca_answer_160616_w_dtxsi_ds","Single match found"
1512,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_12.299",35824,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2","Full match","Partial match","Full match",0.43,262.07434,263.08162,12.299,868893.823728209,12,91.1,9.6,"PreferredDDA","[M+H]+1","a10_b",756630.581832563,6.4,"b","a10","04-bottom-half","antibiotics_itn_msca_answer_160616_w_dtxsi_ds","Single match found"
1512,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_12.299",35824,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2","Full match","Partial match","Full match",0.43,262.07434,263.08162,12.299,868893.823728209,12,91.1,9.6,"PreferredDDA","[M+H]+1","a16_a",617228.219334777,8,"a","a16","08-bottom-half","antibiotics_itn_msca_answer_160616_w_dtxsi_ds","Single match found"
1512,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_12.299",35824,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2","Full match","Partial match","Full match",0.43,262.07434,263.08162,12.299,868893.823728209,12,91.1,9.6,"PreferredDDA","[M+H]+1","a16_b",625346.98909458,5.9,"b","a16","08-bottom-half","antibiotics_itn_msca_answer_160616_w_dtxsi_ds","Single match found"
1512,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_12.299",35824,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2","Full match","Partial match","Full match",0.43,262.07434,263.08162,12.299,868893.823728209,12,91.1,9.6,"PreferredDDA","[M+H]+1","a2_a",504184.318949447,7.2,"a","a2","01-middle-quarter","antibiotics_itn_msca_answer_160616_w_dtxsi_ds","Single match found"
1512,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_12.299",35824,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2","Full match","Partial match","Full match",0.43,262.07434,263.08162,12.299,868893.823728209,12,91.1,9.6,"PreferredDDA","[M+H]+1","a2_b",472015.859576917,8.3,"b","a2","01-middle-quarter","antibiotics_itn_msca_answer_160616_w_dtxsi_ds","Single match found"
1512,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_12.299",35824,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2","Full match","Partial match","Full match",0.43,262.07434,263.08162,12.299,868893.823728209,12,91.1,9.6,"PreferredDDA","[M+H]+1","a28_a",640799.299492879,5.9,"a","a28","15-bottom-half","antibiotics_itn_msca_answer_160616_w_dtxsi_ds","Single match found"
1512,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_12.299",35824,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2","Full match","Partial match","Full match",0.43,262.07434,263.08162,12.299,868893.823728209,12,91.1,9.6,"PreferredDDA","[M+H]+1","a28_b",822794.236275202,6.4,"b","a28","15-bottom-half","antibiotics_itn_msca_answer_160616_w_dtxsi_ds","Single match found"
1512,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_12.299",35824,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2","Full match","Partial match","Full match",0.43,262.07434,263.08162,12.299,868893.823728209,12,91.1,9.6,"PreferredDDA","[M+H]+1","a3_a",533016.738018671,8,"a","a3","01-top-quarter","antibiotics_itn_msca_answer_160616_w_dtxsi_ds","Single match found"
1512,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_12.299",35824,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2","Full match","Partial match","Full match",0.43,262.07434,263.08162,12.299,868893.823728209,12,91.1,9.6,"PreferredDDA","[M+H]+1","a3_b",534996.380368242,8,"b","a3","01-top-quarter","antibiotics_itn_msca_answer_160616_w_dtxsi_ds","Single match found"
