"peak_number","unique_id","compounds_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample","group_area","peak_rating","replicate","sample_location","sample_name","mass_list_name","mass_list_match"
1417,"(2S,5R,6R)-6-(2,2-dimethyl-5-oxo-4-phenylimidazolidin-1-yl)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid_BTM00836_1.196",108351,"(2S,5R,6R)-6-(2,2-dimethyl-5-oxo-4-phenylimidazolidin-1-yl)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid_BTM00836","C11 H14 N2 O","Full match","Partial match","Full match",0,190.11061,191.11789,1.196,430646.967409478,1,82.8,9.1,"PreferredDDA","[M+H]+1","a22_a",227013.486470568,5.2,"a","a22","11-bottom-half","itnantibiotic_cyp_metabolites","Single match found"
1417,"(2S,5R,6R)-6-(2,2-dimethyl-5-oxo-4-phenylimidazolidin-1-yl)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid_BTM00836_1.196",108351,"(2S,5R,6R)-6-(2,2-dimethyl-5-oxo-4-phenylimidazolidin-1-yl)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid_BTM00836","C11 H14 N2 O","Full match","Partial match","Full match",0,190.11061,191.11789,1.196,430646.967409478,1,82.8,9.1,"PreferredDDA","[M+H]+1","a22_b",180697.243722595,6.8,"b","a22","11-bottom-half","itnantibiotic_cyp_metabolites","Single match found"
1417,"(2S,5R,6R)-6-(2,2-dimethyl-5-oxo-4-phenylimidazolidin-1-yl)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid_BTM00836_1.196",108351,"(2S,5R,6R)-6-(2,2-dimethyl-5-oxo-4-phenylimidazolidin-1-yl)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid_BTM00836","C11 H14 N2 O","Full match","Partial match","Full match",0,190.11061,191.11789,1.196,430646.967409478,1,82.8,9.1,"PreferredDDA","[M+H]+1","a34_a",173291.876479663,5.8,"a","a34","18-bottom-half","itnantibiotic_cyp_metabolites","Single match found"
1417,"(2S,5R,6R)-6-(2,2-dimethyl-5-oxo-4-phenylimidazolidin-1-yl)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid_BTM00836_1.196",108351,"(2S,5R,6R)-6-(2,2-dimethyl-5-oxo-4-phenylimidazolidin-1-yl)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid_BTM00836","C11 H14 N2 O","Full match","Partial match","Full match",0,190.11061,191.11789,1.196,430646.967409478,1,82.8,9.1,"PreferredDDA","[M+H]+1","a34_b",143229.134972659,5.2,"b","a34","18-bottom-half","itnantibiotic_cyp_metabolites","Single match found"
1415,"(2S,5R,6R)-6-(2,2-dimethyl-5-oxo-4-phenylimidazolidin-1-yl)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid_BTM00836_3.117",70125,"(2S,5R,6R)-6-(2,2-dimethyl-5-oxo-4-phenylimidazolidin-1-yl)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid_BTM00836","C11 H14 N2 O","Full match","Partial match","Full match",0.06,190.11062,191.1179,3.117,995978.010572361,1,92.8,9.6,"PreferredDDA","[M+H]+1","a6_a",995978.010572361,5.9,"a","a6","01-top-half","itnantibiotic_cyp_metabolites","Single match found"
1415,"(2S,5R,6R)-6-(2,2-dimethyl-5-oxo-4-phenylimidazolidin-1-yl)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid_BTM00836_3.117",70125,"(2S,5R,6R)-6-(2,2-dimethyl-5-oxo-4-phenylimidazolidin-1-yl)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid_BTM00836","C11 H14 N2 O","Full match","Partial match","Full match",0.06,190.11062,191.1179,3.117,995978.010572361,1,92.8,9.6,"PreferredDDA","[M+H]+1","a6_b",957563.251896677,7.5,"b","a6","01-top-half","itnantibiotic_cyp_metabolites","Single match found"
1416,"(2S,5R,6R)-6-(2,2-dimethyl-5-oxo-4-phenylimidazolidin-1-yl)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid_BTM00836_8.698",98255,"(2S,5R,6R)-6-(2,2-dimethyl-5-oxo-4-phenylimidazolidin-1-yl)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid_BTM00836","C11 H14 N2 O","Full match","No results","Full match",0.13,190.11064,191.11791,8.698,591973.625055514,0,NA,NA,"PreferredDDA","[M+H]+1","a50_a",391457.077848874,5.5,"a","a50","29-middle-quarter","itnantibiotic_cyp_metabolites","Single match found"
1416,"(2S,5R,6R)-6-(2,2-dimethyl-5-oxo-4-phenylimidazolidin-1-yl)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid_BTM00836_8.698",98255,"(2S,5R,6R)-6-(2,2-dimethyl-5-oxo-4-phenylimidazolidin-1-yl)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid_BTM00836","C11 H14 N2 O","Full match","No results","Full match",0.13,190.11064,191.11791,8.698,591973.625055514,0,NA,NA,"PreferredDDA","[M+H]+1","a50_b",405404.836402938,5.5,"b","a50","29-middle-quarter","itnantibiotic_cyp_metabolites","Single match found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a1_a",1606122.55097263,8.4,"a","a1","01-bottom-quarter","itnantibiotic_cyp_metabolites","Multiple matches found"
1522,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.902",13643,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","No match","Invalid mass","Full match",0.64,278.06932,279.0766,11.902,1908663.28926714,6,91.9,9.6,"PreferredDDA","[M+H]+1","a1_b",1781573.63753298,5.7,"b","a1","01-bottom-quarter","itnantibiotic_cyp_metabolites","Multiple matches found"
