"peak_number","unique_id","compounds_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample","group_area","peak_rating","replicate","sample_location","sample_name","mass_list_name","mass_list_match"
4742,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol_20.615",32459,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol","C21 H30 O3","Full match","No results","Full match",-1.66,330.21895,683.4294,20.615,811173.006148271,0,NA,NA,"NoMSn","[2M+Na]+1","a49_a",424467.873299654,8.3,"a","a49","29-bottom-quarter","kps_psychoactive_substances_v2","Single match found"
4742,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol_20.615",32459,"14-ethynyl-2,15-dimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-7-ene-5,9,14-triol","C21 H30 O3","Full match","No results","Full match",-1.66,330.21895,683.4294,20.615,811173.006148271,0,NA,NA,"NoMSn","[2M+Na]+1","a49_b",811173.006148271,8,"b","a49","29-bottom-quarter","kps_psychoactive_substances_v2","Single match found"
5318,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate_20.601",7429,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate","C21 H32 O3","Not the top hit","Invalid mass","Full match",-0.23,332.23507,333.24227,20.601,3765087.0078836,4,79.2,60.7,"PreferredDDA","[M+H]+1","a10_a",525318.353369418,9.1,"a","a10","04-bottom-half","kps_psychoactive_substances_v2","Multiple matches found"
5318,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate_20.601",7429,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate","C21 H32 O3","Not the top hit","Invalid mass","Full match",-0.23,332.23507,333.24227,20.601,3765087.0078836,4,79.2,60.7,"PreferredDDA","[M+H]+1","a10_b",1652405.44328083,6.2,"b","a10","04-bottom-half","kps_psychoactive_substances_v2","Multiple matches found"
5318,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate_20.601",7429,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate","C21 H32 O3","Not the top hit","Invalid mass","Full match",-0.23,332.23507,333.24227,20.601,3765087.0078836,4,79.2,60.7,"PreferredDDA","[M+H]+1","a53_a",1096326.72221716,9.1,"a","a53","29-middle-half","kps_psychoactive_substances_v2","Multiple matches found"
5318,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate_20.601",7429,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate","C21 H32 O3","Not the top hit","Invalid mass","Full match",-0.23,332.23507,333.24227,20.601,3765087.0078836,4,79.2,60.7,"PreferredDDA","[M+H]+1","a53_b",1000370.53827164,5.9,"b","a53","29-middle-half","kps_psychoactive_substances_v2","Multiple matches found"
5311,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol_16.962",26082,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol","C20 H32 O2","Not the top hit","Partial match","Full match",0.39,304.24035,305.2477,16.962,934907.864878768,6,91.3,82.9,"PreferredDDA","[M+H]+1","a10_a",640721.811875759,5.3,"a","a10","04-bottom-half","kps_psychoactive_substances_v2","Multiple matches found"
5311,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol_16.962",26082,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol","C20 H32 O2","Not the top hit","Partial match","Full match",0.39,304.24035,305.2477,16.962,934907.864878768,6,91.3,82.9,"PreferredDDA","[M+H]+1","a10_b",540873.633250562,5.3,"b","a10","04-bottom-half","kps_psychoactive_substances_v2","Multiple matches found"
5311,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol_16.962",26082,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol","C20 H32 O2","Not the top hit","Partial match","Full match",0.39,304.24035,305.2477,16.962,934907.864878768,6,91.3,82.9,"PreferredDDA","[M+H]+1","a3_a",536514.94280247,6.4,"a","a3","01-top-quarter","kps_psychoactive_substances_v2","Multiple matches found"
5311,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol_16.962",26082,"2,14,15-trimethyltetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-ene-5,14-diol","C20 H32 O2","Not the top hit","Partial match","Full match",0.39,304.24035,305.2477,16.962,934907.864878768,6,91.3,82.9,"PreferredDDA","[M+H]+1","a3_b",568077.723775894,8.6,"b","a3","01-top-quarter","kps_psychoactive_substances_v2","Multiple matches found"
