"peak_number","name.x","formula","calc_mw","m_z","day","height","location","mean","std","n","se","name.y","class"
1509,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07435,263.08161,"01","bottom","half",2680179.84395501,135079.566816954,2,95515.6776960099,NA,"unknown"
1509,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07435,263.08161,"01","middle","half",1064649.46804457,22567.2625189266,2,15957.46435995,NA,"unknown"
1510,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"01","bottom","half",1000572.72834048,93324.0009847659,2,65990.033943788,NA,"unknown"
1510,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"01","bottom","quarter",1723174.31300399,10479.9616717719,2,7410.45196468499,NA,"unknown"
1510,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"01","middle","half",387931.765725109,12780.2223154651,2,9036.98186433702,NA,"unknown"
1510,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"01","top","quarter",323393.859701833,1787.44064966982,2,1263.91140435002,NA,"unknown"
1510,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"29","middle","half",649162.863289789,6594.06517798604,2,4662.70820294,NA,"unknown"
1512,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"01","bottom","quarter",723129.940028328,97011.4411396286,2,68597.447882511,NA,"unknown"
1512,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"01","middle","quarter",488100.089263182,22746.5357626399,2,16084.229686265,NA,"unknown"
1512,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"01","top","half",840348.031254113,40369.8468655537,2,28545.7924740955,NA,"unknown"
1512,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"01","top","quarter",534006.559193457,1399.81852970572,2,989.821174785495,NA,"unknown"
