"Input Files Workflow ID"	"Input Files Workflow Level"	"Input Files "	"Study File ID"	"File Name"	"Creation Date"	"RT Range [min]"	"Instrument Name"	"Software Revision"	"Ref. File ID"	"Alignment Score"	"Sample Type"	"Day"	"Height"	"Length"	"Max. Mass [Da]"
"14"	"0"	"33"	"F1"	"K:\Chemistry\Fusion\Win10 Data\Data_2023_Q3\Charlie\A0_Blank_a.raw"	"19/09/2023 17:17:51"	"0.00 - 28.01"	"Orbitrap Fusion"	"4.0.4091"	"F55"	"0.605"	"Blank"	""	"n/a"	"n/a"	"2000.00000"
"14"	"0"	"34"	"F2"	"K:\Chemistry\Fusion\Win10 Data\Data_2023_Q3\Charlie\A0_Blank_b.raw"	"19/09/2023 17:46:46"	"0.00 - 28.01"	"Orbitrap Fusion"	"4.0.4091"	"F55"	"0.596"	"Blank"	""	"n/a"	"n/a"	"2000.00000"
"14"	"0"	"35"	"F3"	"K:\Chemistry\Fusion\Win10 Data\Data_2023_Q3\Charlie\A0_blank_c.raw"	"19/09/2023 22:35:52"	"0.00 - 28.00"	"Orbitrap Fusion"	"4.0.4091"	"F55"	"0.583"	"Blank"	""	"n/a"	"n/a"	"2000.00000"
"14"	"0"	"36"	"F4"	"K:\Chemistry\Fusion\Win10 Data\Data_2023_Q3\Charlie\A0_blank_d.raw"	"20/09/2023 03:24:59"	"0.01 - 28.00"	"Orbitrap Fusion"	"4.0.4091"	"F55"	"0.576"	"Blank"	""	"n/a"	"n/a"	"2000.00000"
"14"	"0"	"37"	"F5"	"K:\Chemistry\Fusion\Win10 Data\Data_2023_Q3\Charlie\A0_blank_e.raw"	"20/09/2023 08:14:06"	"0.01 - 28.01"	"Orbitrap Fusion"	"4.0.4091"	"F55"	"0.570"	"Blank"	""	"n/a"	"n/a"	"2000.00000"
"14"	"0"	"38"	"F6"	"K:\Chemistry\Fusion\Win10 Data\Data_2023_Q3\Charlie\A0_blank_f.raw"	"20/09/2023 13:03:11"	"0.01 - 28.01"	"Orbitrap Fusion"	"4.0.4091"	"F55"	"0.560"	"Blank"	""	"n/a"	"n/a"	"2000.00000"
"14"	"0"	"39"	"F7"	"K:\Chemistry\Fusion\Win10 Data\Data_2023_Q3\Charlie\A0_blank_g.raw"	"20/09/2023 16:54:25"	"0.01 - 28.01"	"Orbitrap Fusion"	"4.0.4091"	"F55"	"0.552"	"Blank"	""	"n/a"	"n/a"	"2000.00000"
"14"	"0"	"40"	"F8"	"K:\Chemistry\Fusion\Win10 Data\Data_2023_Q3\Charlie\A0_blank_h.raw"	"20/09/2023 17:23:19"	"0.01 - 28.02"	"Orbitrap Fusion"	"4.0.4091"	"F55"	"0.551"	"Blank"	""	"n/a"	"n/a"	"2000.00000"
"14"	"0"	"41"	"F9"	"K:\Chemistry\Fusion\Win10 Data\Data_2023_Q3\Charlie\A1_a.raw"	"19/09/2023 18:15:39"	"0.00 - 28.00"	"Orbitrap Fusion"	"4.0.4091"	"F55"	"0.930"	"Sample"	"1"	"bottom"	"quarter"	"2000.00000"
"14"	"0"	"42"	"F10"	"K:\Chemistry\Fusion\Win10 Data\Data_2023_Q3\Charlie\A1_b.raw"	"20/09/2023 05:20:38"	"0.01 - 28.02"	"Orbitrap Fusion"	"4.0.4091"	"F55"	"0.905"	"Sample"	"1"	"bottom"	"quarter"	"2000.00000"
"14"	"0"	"43"	"F11"	"K:\Chemistry\Fusion\Win10 Data\Data_2023_Q3\Charlie\A2_a.raw"	"19/09/2023 18:44:34"	"0.00 - 28.01"	"Orbitrap Fusion"	"4.0.4091"	"F55"	"0.886"	"Sample"	"1"	"middle"	"quarter"	"2000.00000"
"14"	"0"	"44"	"F12"	"K:\Chemistry\Fusion\Win10 Data\Data_2023_Q3\Charlie\A2_b.raw"	"20/09/2023 08:43:00"	"0.01 - 28.00"	"Orbitrap Fusion"	"4.0.4091"	"F55"	"0.837"	"Sample"	"1"	"middle"	"quarter"	"2000.00000"
"14"	"0"	"45"	"F13"	"K:\Chemistry\Fusion\Win10 Data\Data_2023_Q3\Charlie\A3_a.raw"	"19/09/2023 19:13:28"	"0.00 - 28.01"	"Orbitrap Fusion"	"4.0.4091"	"F55"	"0.914"	"Sample"	"1"	"top"	"quarter"	"2000.00000"
"14"	"0"	"46"	"F14"	"K:\Chemistry\Fusion\Win10 Data\Data_2023_Q3\Charlie\A3_b.raw"	"20/09/2023 11:07:33"	"0.01 - 28.01"	"Orbitrap Fusion"	"4.0.4091"	"F55"	"0.861"	"Sample"	"1"	"top"	"quarter"	"2000.00000"
"14"	"0"	"47"	"F15"	"K:\Chemistry\Fusion\Win10 Data\Data_2023_Q3\Charlie\A4_a.raw"	"19/09/2023 19:42:24"	"0.00 - 28.01"	"Orbitrap Fusion"	"4.0.4091"	"F55"	"0.922"	"Sample"	"1"	"bottom"	"half"	"2000.00000"
"14"	"0"	"48"	"F16"	"K:\Chemistry\Fusion\Win10 Data\Data_2023_Q3\Charlie\A4_b.raw"	"20/09/2023 14:29:53"	"0.01 - 28.00"	"Orbitrap Fusion"	"4.0.4091"	"F55"	"0.858"	"Sample"	"1"	"bottom"	"half"	"2000.00000"
"14"	"0"	"49"	"F17"	"K:\Chemistry\Fusion\Win10 Data\Data_2023_Q3\Charlie\A5_a.raw"	"19/09/2023 20:11:18"	"0.00 - 28.01"	"Orbitrap Fusion"	"4.0.4091"	"F55"	"0.930"	"Sample"	"1"	"middle"	"half"	"2000.00000"
