,0
ASV0,50534.0
ASV1,18020.0
ASV2,17272.0
ASV3,15848.0
ASV4,8220.0
ASV5,6693.0
ASV6,6503.0
ASV7,5878.0
ASV8,5768.0
ASV9,5681.0
ASV10,5211.0
ASV11,4625.0
ASV12,4404.0
ASV13,3741.0
ASV14,3733.0
ASV15,3711.0
ASV16,3707.0
ASV17,2915.0
ASV18,2837.0
ASV19,2581.0
ASV20,2447.0
ASV21,2390.0
ASV22,2381.0
ASV23,2282.0
ASV24,2167.0
ASV25,1868.0
ASV26,1864.0
ASV27,1849.0
ASV28,1746.0
ASV29,1703.0
ASV30,1644.0
ASV31,1603.0
ASV32,1507.0
ASV33,1496.0
ASV34,1415.0
ASV35,1387.0
ASV36,1354.0
ASV37,1333.0
ASV38,1310.0
ASV39,1310.0
ASV40,1309.0
ASV41,1280.0
ASV42,1227.0
ASV43,1226.0
ASV44,1216.0
ASV45,1199.0
ASV46,1182.0
ASV47,1110.0
ASV48,1101.0
ASV49,1082.0
ASV50,1015.0
ASV51,962.0
ASV52,961.0
ASV53,936.0
ASV54,886.0
ASV55,884.0
ASV56,871.0
ASV57,829.0
ASV58,819.0
ASV59,815.0
ASV60,807.0
ASV61,777.0
ASV62,756.0
ASV63,734.0
ASV64,708.0
ASV65,670.0
ASV66,670.0
ASV67,662.0
ASV68,659.0
ASV69,647.0
ASV70,588.0
ASV71,580.0
ASV72,573.0
ASV73,569.0
ASV74,564.0
ASV75,553.0
ASV76,551.0
ASV77,530.0
ASV78,527.0
ASV79,520.0
ASV80,508.0
ASV81,508.0
ASV82,507.0
ASV83,501.0
ASV84,495.0
ASV85,493.0
ASV86,490.0
ASV87,488.0
ASV88,475.0
ASV89,463.0
ASV90,460.0
ASV91,458.0
ASV92,448.0
ASV93,446.0
ASV94,431.0
ASV95,430.0
ASV96,419.0
ASV97,417.0
ASV98,408.0
ASV99,404.0
ASV101,402.0
ASV100,402.0
ASV102,399.0
ASV103,394.0
ASV104,394.0
ASV105,390.0
ASV106,387.0
ASV107,384.0
ASV108,372.0
ASV109,368.0
ASV110,366.0
ASV111,366.0
ASV112,358.0
ASV113,352.0
ASV114,351.0
ASV115,343.0
ASV116,335.0
ASV117,334.0
ASV118,320.0
ASV119,316.0
ASV120,312.0
ASV121,310.0
ASV122,309.0
ASV123,300.0
ASV124,299.0
ASV125,299.0
ASV126,297.0
ASV127,297.0
ASV128,296.0
ASV129,291.0
ASV130,290.0
ASV131,289.0
ASV132,287.0
ASV133,287.0
ASV134,286.0
ASV135,279.0
ASV136,278.0
ASV137,276.0
ASV138,276.0
ASV139,275.0
ASV140,275.0
ASV141,274.0
ASV142,273.0
ASV143,272.0
ASV144,264.0
ASV145,260.0
ASV146,259.0
ASV147,258.0
ASV148,255.0
ASV149,253.0
ASV150,251.0
ASV151,249.0
ASV152,248.0
ASV153,247.0
ASV154,245.0
