#OTU_num	A4	A5	A6	A52	A53	A54	Taxonomy
ASV0	9053.0	9885.0	10339.0	4736.0	12189.0	4332.0	k__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosaetaceae;g__Methanosaeta
ASV1	3771.0	4077.0	3553.0	2956.0	3317.0	346.0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae
ASV2	2851.0	270.0	4179.0	6398.0	3055.0	519.0	k__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__Candidatus_Microthrix;s__
ASV3	3341.0	3717.0	2687.0	822.0	5022.0	259.0	k__Bacteria;p__Acidobacteriota;c__d142;o__;f__;g__;s__
ASV4	1630.0	1893.0	1831.0	547.0	2279.0	40.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Sedimentibacteraceae;g__Sedimentibacter;s__
ASV5	87.0	94.0	41.0	357.0	227.0	5887.0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Glutamicibacter
ASV6	757.0	929.0	1196.0	2189.0	1417.0	15.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Hungateiclostridiaceae;g__Fastidiosipila;s__
ASV7	947.0	1147.0	1077.0	1072.0	1533.0	102.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__;s__
ASV8	1062.0	1072.0	976.0	817.0	1204.0	637.0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Gordonia
ASV9	1103.0	332.0	1117.0	1617.0	1094.0	418.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia
ASV10	962.0	900.0	1134.0	1039.0	1086.0	90.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidetes_vadinHA17;g__;s__
ASV11	775.0	892.0	801.0	771.0	941.0	445.0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium
ASV12	681.0	842.0	908.0	1077.0	834.0	62.0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__PeM15
ASV13	530.0	623.0	814.0	812.0	959.0	3.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__ST-12K33;g__;s__
ASV14	766.0	782.0	1214.0	507.0	347.0	117.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter
ASV15	668.0	154.0	2448.0	32.0	171.0	238.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas
ASV16	14.0	9.0	0.0	224.0	103.0	3357.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter
ASV17	89.0	457.0	1008.0	58.0	15.0	1288.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Lysinibacillus
ASV18	461.0	1005.0	1173.0	12.0	96.0	90.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas
ASV19	483.0	479.0	630.0	207.0	738.0	44.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group;s__
ASV20	348.0	426.0	381.0	615.0	519.0	158.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1;s__swine_fecal_bacterium_SD-Pec10
ASV21	465.0	250.0	156.0	405.0	162.0	952.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter
ASV22	20.0	14.0	5.0	215.0	128.0	1999.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter
ASV23	363.0	427.0	366.0	378.0	713.0	35.0	k__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales
ASV24	471.0	460.0	681.0	286.0	196.0	73.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter
ASV25	274.0	288.0	345.0	481.0	332.0	148.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1;s__
ASV26	388.0	433.0	390.0	225.0	405.0	23.0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae
ASV27	360.0	361.0	437.0	228.0	463.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Sedimentibacteraceae;g__Sedimentibacter;s__
ASV28	401.0	410.0	565.0	202.0	117.0	51.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter
ASV29	312.0	393.0	346.0	275.0	366.0	11.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidetes_vadinHA17;g__;s__
ASV30	205.0	261.0	339.0	328.0	454.0	57.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__DMER64;s__
ASV31	284.0	227.0	304.0	382.0	310.0	96.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Intestinibacter;s__
ASV32	17.0	46.0	14.0	144.0	0.0	1286.0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Glutamicibacter
ASV33	274.0	17.0	443.0	482.0	239.0	41.0	k__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__Candidatus_Microthrix;s__
ASV34	326.0	279.0	421.0	172.0	213.0	4.0	k__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__CL500-29_marine_group;s__
ASV35	222.0	54.0	345.0	48.0	136.0	582.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas
ASV36	225.0	270.0	201.0	363.0	277.0	18.0	k__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Thermovirga;s__
ASV37	229.0	263.0	279.0	213.0	349.0	0.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__;s__
ASV38	217.0	213.0	192.0	274.0	256.0	158.0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium
ASV39	74.0	170.0	188.0	200.0	148.0	530.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Chryseomicrobium
ASV40	97.0	170.0	174.0	411.0	397.0	60.0	k__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__;g__;s__
ASV41	256.0	240.0	230.0	152.0	358.0	44.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amaricoccus;s__
ASV42	235.0	220.0	182.0	222.0	290.0	78.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__;s__
