Taxonomy	Bottom	Middle	Top
Actinobacteria	0.175588	0.177520	0.223137
Gammaproteobacteria	0.089442	0.077922	0.207083
Methanosarcinia	0.135094	0.197472	0.133718
Bacilli	0.028372	0.018922	0.102778
Clostridia	0.150038	0.141629	0.081369
Acidimicrobiia	0.110435	0.041673	0.052395
Bacteroidia	0.088829	0.098649	0.069837
d142	0.039834	0.076164	0.023908
Alphaproteobacteria	0.054998	0.064355	0.045618
Anaerolineae	0.024301	0.006269	0.003123
Cloacimonadia	0.013567	0.021236	0.007321
Synergistia	0.017777	0.014944	0.006373
Chloroflexia	0.007252	0.007761	0.010236
Methanomicrobia	0.009808	0.008073	0.003840
Thermoleophilia	0.008386	0.008039	0.004014
Caldatribacteriia	0.005702	0.003886	0.002394
Dojkabacteria	0.004974	0.002290	0.002313
Aminicenantia	0.004615	0.003273	0.001330
unidentified_Firmicutes	0.003817	0.002047	0.001920
Verrucomicrobiae	0.001689	0.001839	0.002174
Syntrophia	0.002845	0.003134	0.001504
Syntrophorhabdia	0.002094	0.004002	0.001689
Syntrophomonadia	0.001816	0.002926	0.001388
Gracilibacteria	0.001376	0.002741	0.000810
Saccharimonadia	0.002510	0.001561	0.001076
D8A-2	0.002163	0.001434	0.000925
Planctomycetes	0.000208	0.000093	0.001041
Thermococci	0.001041	0.000648	0.000440
Nanoarchaeia	0.000509	0.000937	0.000289
Methanobacteria	0.000752	0.000393	0.000301
Hydrogenedentia	0.000729	0.000451	0.000451
Polyangia	0.000440	0.000104	0.000023
Desulfotomaculia	0.000463	0.000335	0.000312
unidentified_WPS-2	0.000393	0.000509	0.000347
Gemmatimonadetes	0.000058	0.000150	0.000405
