Taxonomy	Bottom	Middle	Top
Methanosaetaceae	0.134551	0.196870	0.133568
Moraxellaceae	0.051297	0.037082	0.123644
Micrococcaceae	0.006130	0.004037	0.086863
Microtrichaceae	0.100315	0.031541	0.044299
Planococcaceae	0.012758	0.012943	0.080814
Intrasporangiaceae	0.072232	0.074661	0.035937
Xanthomonadaceae	0.011855	0.006616	0.040147
Hungateiclostridiaceae	0.033484	0.023653	0.010884
Peptostreptococcaceae	0.040216	0.020357	0.020727
Sedimentibacteraceae	0.026487	0.043663	0.018171
Christensenellaceae	0.025076	0.034734	0.016968
Comamonadaceae	0.013324	0.022485	0.021201
Anaerolineaceae	0.018379	0.002209	0.001122
Bacteroidetes_vadinHA17	0.032305	0.032455	0.016482
Mycobacteriaceae	0.030269	0.030986	0.024405
Sphingobacteriaceae	0.000914	0.000798	0.017292
Rhodobacteraceae	0.023399	0.028176	0.018298
Prolixibacteraceae	0.023884	0.028765	0.011798
Thermomonosporaceae	0.002128	0.000116	0.012480
Clostridiaceae	0.019084	0.015302	0.010456
Synergistaceae	0.017777	0.014944	0.006373
Nocardiaceae	0.018587	0.020785	0.017870
Microbacteriaceae	0.009774	0.011208	0.014296
Rikenellaceae	0.013290	0.016470	0.008975
ST-12K33	0.013035	0.013683	0.006361
Bacillaceae	0.008015	0.000370	0.001908
Rhizobiaceae	0.005321	0.006685	0.008605
JG30-KF-CM45	0.007217	0.007599	0.009056
Staphylococcaceae	0.000150	0.000035	0.006130
Cloacimonadaceae	0.005309	0.010121	0.003146
Methanoregulaceae	0.005679	0.003979	0.001469
Methylococcaceae	0.001388	0.000197	0.004488
Streptomycetaceae	0.000532	0.000220	0.004245
Caldatribacteriaceae	0.005702	0.003886	0.002394
Ilumatobacteraceae	0.005864	0.005135	0.004048
