Taxonomy	Bottom	Middle	Top
Methanosaeta	0.134551	0.196870	0.133568
Glutamicibacter	0.005934	0.003481	0.084399
Psychrobacter	0.006269	0.002683	0.076245
Candidatus_Microthrix	0.097458	0.029159	0.042460
Acinetobacter	0.045028	0.034398	0.047399
Stenotrophomonas	0.010144	0.005228	0.035844
Fastidiosipila	0.032050	0.022126	0.010248
Sedimentibacter	0.026487	0.043663	0.018171
Christensenellaceae_R-7_group	0.023919	0.033484	0.016332
Lysinibacillus	0.002741	0.006234	0.028731
Romboutsia	0.028222	0.012700	0.014215
Mycobacterium	0.030269	0.030986	0.024405
Comamonas	0.009993	0.017789	0.018599
Sphingobacterium	0.000694	0.000694	0.015684
Chryseomicrobium	0.003967	0.003967	0.013972
Sporosarcina	0.000555	0.000185	0.012041
Clostridium_sensu_stricto_1	0.018182	0.014597	0.009704
Gordonia	0.018252	0.020357	0.015973
unidentified_Anaerolineaceae	0.009912	0.001180	0.000671
Planococcus	0.001573	0.000474	0.008409
Thermovirga	0.012642	0.011312	0.004372
Psychrobacillus	0.000463	0.000312	0.006581
Amaricoccus	0.010340	0.011404	0.005795
DMER64	0.008397	0.009403	0.004950
Methanolinea	0.005679	0.003979	0.001423
Paracoccus	0.002209	0.003921	0.006095
Microbacterium	0.003863	0.004650	0.006095
Streptomyces	0.000532	0.000220	0.004245
Leucobacter	0.001110	0.000763	0.004441
Candidatus_Caldatribacterium	0.005702	0.003886	0.002394
CL500-29_marine_group	0.005853	0.005066	0.004048
Rikenellaceae_RC9_gut_group	0.004742	0.006951	0.003979
W5	0.003400	0.007264	0.002209
Rhodanobacter	0.000000	0.000000	0.003805
Longilinea	0.004014	0.000359	0.000243
