Taxonomy	Bottom	Middle	Top
Micrococcales	0.089061	0.090807	0.141213
Methanosarciniales	0.135094	0.197472	0.133718
Pseudomonadales	0.052708	0.037880	0.125194
Microtrichales	0.109730	0.041292	0.051967
Bacillales	0.020808	0.013313	0.082769
Bacteroidales	0.072555	0.081554	0.040135
Peptostreptococcales-Tissierellales	0.069872	0.065581	0.040644
Corynebacteriales	0.049550	0.052384	0.044276
Xanthomonadales	0.012098	0.007021	0.044230
Oscillospirales	0.034364	0.024532	0.012064
Burkholderiales	0.019524	0.028684	0.027852
Christensenellales	0.025076	0.034734	0.016968
Anaerolineales	0.018379	0.002209	0.001122
Sphingobacteriales	0.013949	0.014516	0.023653
Rhodobacterales	0.023399	0.028176	0.018298
Rhizobiales	0.026556	0.030211	0.020310
Streptosporangiales	0.002325	0.000127	0.013162
PeM15	0.021016	0.019003	0.009959
Clostridiales	0.019084	0.015302	0.010468
Cloacimonadales	0.013567	0.021236	0.007321
Synergistales	0.017777	0.014944	0.006373
Thermomicrobiales	0.007217	0.007599	0.010190
Methanomicrobiales	0.009808	0.008073	0.003840
Staphylococcales	0.000150	0.000035	0.006153
Gaiellales	0.006165	0.005806	0.002521
Propionibacteriales	0.008073	0.009045	0.005876
Methylococcales	0.001388	0.000486	0.004488
Streptomycetales	0.000532	0.000220	0.004245
Caldatribacteriales	0.005702	0.003886	0.002394
Enterobacterales	0.002857	0.002822	0.004615
Flavobacteriales	0.001423	0.001908	0.005078
Lactobacillales	0.003817	0.003435	0.005795
Thermoactinomycetales	0.000104	0.000000	0.003169
Aminicenantales	0.004615	0.003273	0.001330
DTU014	0.003817	0.002047	0.001920
