Taxonomy	Bottom	Middle	Top
Actinobacteriota	0.295091	0.227694	0.280043
Proteobacteria	0.144440	0.142277	0.252701
Halobacterota	0.144903	0.205545	0.137558
Firmicutes	0.187270	0.167480	0.188785
Bacteroidota	0.088922	0.098707	0.069837
Acidobacteriota	0.045201	0.080027	0.025573
Chloroflexi	0.031830	0.014319	0.013428
Cloacimonadota	0.013567	0.021236	0.007321
Synergistota	0.017777	0.014944	0.006373
Patescibacteria	0.009646	0.007229	0.004650
Caldatribacteriota	0.005945	0.004118	0.002429
Desulfobacterota	0.005182	0.007576	0.003597
Verrucomicrobiota	0.001989	0.001851	0.002313
Planctomycetota	0.000208	0.000093	0.001053
Euryarchaeota	0.001793	0.001041	0.000740
Nanoarchaeota	0.000509	0.000937	0.000289
Hydrogenedentes	0.000729	0.000451	0.000451
Myxococcota	0.000440	0.000150	0.000081
WPS-2	0.000393	0.000509	0.000347
Gemmatimonadota	0.000162	0.000150	0.000416
Spirochaetota	0.000382	0.000370	0.000301
Caldisericota	0.000393	0.000359	0.000289
Armatimonadota	0.000254	0.000081	0.000104
Latescibacterota	0.000000	0.000254	0.000093
Thermotogota	0.000081	0.000220	0.000093
Dependentiae	0.000046	0.000150	0.000046
Fermentibacterota	0.000116	0.000139	0.000081
Sva0485	0.000173	0.000081	0.000046
Thermoplasmatota	0.000185	0.000208	0.000069
Bdellovibrionota	0.000150	0.000081	0.000081
SAR324_clade(Marine_group_B)	0.000069	0.000023	0.000000
Crenarchaeota	0.000012	0.000058	0.000000
Sumerlaeota	0.000058	0.000046	0.000000
Deinococcota	0.000000	0.000046	0.000023
Campylobacterota	0.000000	0.000035	0.000000
