Taxonomy	Bottom	Middle	Top
Pelotomaculum_sp_DTU098	0.008455	0.000856	0.000405
swine_fecal_bacterium_SD-Pec10	0.009380	0.008281	0.004800
Sphingobacterium_mizutaii	0.000312	0.000335	0.005587
Sporosarcina_sp_AB_64	0.000254	0.000150	0.004037
Atribacteria_bacterium_JGI_0000079-F20	0.005587	0.003886	0.002325
Sphingobacterium_humi	0.000046	0.000046	0.002232
candidate_division_CPR1_bacterium_ADurb.Bin160	0.001365	0.002683	0.000810
Actinomadura_sputi	0.001538	0.000058	0.000127
toluene-degrading_methanogenic_consortium_bacterium	0.001457	0.000324	0.000266
bacterium_CYCU-0215	0.000035	0.000347	0.001272
Solirubrobacterales_bacterium_67-14	0.001827	0.001689	0.001087
Clostridium_sp_enrichment_culture_clone_VanCtr93	0.001376	0.002059	0.001249
Planomicrobium_glaciei	0.000162	0.000150	0.001053
Verrucomicrobia_bacterium_ADurb.Bin063	0.000578	0.000706	0.000995
Luteimonas_mephitis	0.000000	0.000000	0.000798
Koukoulia_aurantiaca	0.000393	0.000740	0.000416
Gordonia_phosphorivorans	0.000127	0.000347	0.000798
Thauera_terpenica	0.000659	0.001018	0.000879
Candidatus_Diapherotrites_archaeon_ADurb.Bin253	0.000509	0.000937	0.000289
Neisseria_sp_93S1	0.000613	0.000289	0.000104
Peptostreptococcaceae_bacterium_SK031	0.000775	0.000254	0.000185
Paracoccus_alkenifer	0.000428	0.000185	0.000706
bacterium_QTYC46b	0.000046	0.000185	0.000544
Aquihabitans_daechungensis	0.000729	0.000555	0.000474
Gemmobacter_intermedius	0.000104	0.000555	0.000335
Nocardioides_sp_PBT33-2	0.000081	0.000000	0.000428
Methanobrevibacter_smithii	0.000497	0.000347	0.000150
Psychrobacter_arenosus	0.000035	0.000069	0.000405
candidate_division_WS6_bacterium_GW2011_GWE2_33_157	0.000497	0.000127	0.000555
Burkholderiales_bacterium_Beta_02	0.000393	0.000509	0.000347
Prosthecomicrobium_hirschii	0.000231	0.000474	0.000139
Luteimonas_padinae	0.000324	0.000000	0.000000
Pseudomonas_formosensis	0.000324	0.000000	0.000058
Sphingobacterium_kyonggiense	0.000000	0.000000	0.000301
Dietzia_maris	0.000000	0.000000	0.000289
