Taxonomy	A4	A5	A6	A52	A53	A54
Actinobacteria	0.172893196696662	0.194753521941289	0.145041523051655	0.178283096995073	0.160285919174628	0.301232968609036
Gammaproteobacteria	0.116333942492308	0.110250063614703	0.15922181868653	0.0625506026047329	0.0455943926530801	0.254944597376761
Methanosarcinia	0.175322121723843	0.194869185037822	0.165837747808184	0.0948668717758912	0.200074024381781	0.101598463994078
Bacilli	0.0185986259224132	0.0264174512480048	0.0388859330541997	0.0381456892363922	0.0114275139374031	0.166670522103218
Clostridia	0.14152536491707	0.12796965000347	0.134909435795415	0.158550972726642	0.155289273404428	0.0278285410257003
Acidimicrobiia	0.0748571560757825	0.0195701959332855	0.0901709500566749	0.146013093062527	0.0637766314279766	0.0146198154016979
Bacteroidia	0.0828379097365195	0.095098197968956	0.0898702260056907	0.0948206065372782	0.102199912096047	0.0498045293668603
d142	0.063221448564621	0.0718499155659395	0.0418237757061232	0.0164472923269102	0.0804783825672581	0.00599134840037938
Alphaproteobacteria	0.0614402368780217	0.0673621874204816	0.0447384857387402	0.0485553679243101	0.0613477064007958	0.0464965648060331
Anaerolineae	0.00772629484836568	0.00430266719100604	0.00559809387216914	0.0408753383145574	0.00823521247310833	0.000647713340581554
Cloacimonadia	0.0149899373106017	0.0181822387748965	0.0136713780101321	0.0121446251359041	0.0242892502718083	0.000971570010872331
Synergistia	0.0125378796641144	0.0157301811284092	0.0115431770339356	0.0230169562099517	0.0141571630155683	0.00120289620393717
Chloroflexia	0.00811954937657591	0.00805015151865646	0.00578315482662102	0.0063846029285896	0.00747183603599435	0.0146892132596174
Methanomicrobia	0.00511230886673298	0.0050891762474265	0.00501977838950704	0.0145041523051655	0.0110573920284994	0.00266025122024567
Thermoleophilia	0.00400194314002174	0.00652339864442851	0.00564435911078211	0.0127692058571792	0.00955377177357792	0.00238265978856786
Caldatribacteriia	0.00321543408360129	0.00432579981031252	0.00330796456082722	0.00818894723449536	0.00344676027666613	0.00148048763561498
Dojkabacteria	0.00259085336232622	0.00062458072127507	0.00381688218556987	0.00735617293946193	0.00395567790140878	0.000809641675726943
Aminicenantia	0.00323856670290777	0.00296097527122996	0.00245205764648731	0.00599134840037938	0.00358555599250503	0.000208193573758357
unidentified_Firmicutes	0.00185060954451873	0.000693978579194522	0.00384001480487636	0.00578315482662102	0.00340049503805316	0
Verrucomicrobiae	0.00229012931134192	0.000393254528210229	0.00432579981031252	0.00108723310740475	0.00328483194152074	2.31326193064841e-05
Syntrophia	0.00233639454995489	0.00215133359550302	0.00300724050984293	0.00335422979944019	0.00411760623655416	0
Syntrophorhabdia	0.00353929075389206	0.00397881052071526	0.00333109718013371	0.000647713340581554	0.00402507575932823	4.62652386129681e-05
Syntrophomonadia	0.00226699669203544	0.00349302551527909	0.00277591431677809	0.00136482453908256	0.00235952716926138	0
Gracilibacteria	0.0027527816974716	0.00335422979944019	0.00161928335145389	0	0.00212820097619653	0
Saccharimonadia	0.00212820097619653	0.00117976358463069	0.00157301811284092	0.00289157741331051	0.00194314002174466	0.000578315482662102
D8A-2	0.0014573550163085	0.00164241597076037	0.00185060954451873	0.00286844479400403	0.00122602882324366	0
Planctomycetes	0.000323856670290777	9.25304772259363e-05	4.62652386129681e-05	9.25304772259363e-05	9.25304772259363e-05	0.0020356704989706
Thermococci	0.000601448101968586	0.000532050244049134	0.000786509056420458	0.00148048763561498	0.000763376437113974	9.25304772259363e-05
Nanoarchaeia	0.000670845959888038	0.000601448101968586	0.000578315482662102	0.000346989289597261	0.00127229406185662	0
Methanobacteria	0.000994702630178815	0.000485785005436166	0.000416387147516713	0.00050891762474265	0.000300724050984293	0.000185060954451873
Hydrogenedentia	0.000647713340581554	0.000138795715838904	0.000786509056420458	0.000809641675726943	0.000763376437113974	0.00011566309653242
Polyangia	0.00011566309653242	0	4.62652386129681e-05	0.000763376437113974	0.000208193573758357	0
Desulfotomaculia	0.00074024381780749	0.000370121908903745	0.00062458072127507	0.000185060954451873	0.000300724050984293	0
unidentified_WPS-2	0.000393254528210229	0.000670845959888038	0.000693978579194522	0.000393254528210229	0.000346989289597261	0
Gemmatimonadetes	4.62652386129681e-05	0.000185060954451873	0.000161928335145389	6.93978579194522e-05	0.00011566309653242	0.000647713340581554
