Taxonomy	A4	A5	A6	A52	A53	A54
Methanosaetaceae	0.174975132434246	0.194267736935853	0.165583288995813	0.0941266279580837	0.199472576279812	0.101552198755465
Moraxellaceae	0.0550787665687386	0.0518170672465243	0.0558421430058526	0.0475144000555183	0.0223461102500636	0.191445557380462
Micrococcaceae	0.0020356704989706	0.00284531217469754	0.00108723310740475	0.010224617733466	0.0052279719632654	0.172638737884291
Microtrichaceae	0.0621342154572162	0.00837400818894723	0.0753660737005251	0.13849499178792	0.0547086446598348	0.0132318582433089
Planococcaceae	0.00953063915427144	0.0198477873649633	0.0295403548543802	0.0159846399407805	0.00603761363899234	0.132087256240024
Intrasporangiaceae	0.0802701889934997	0.0883434731314627	0.0626431330819589	0.0641930185754933	0.060977584491892	0.00922991510328715
Xanthomonadaceae	0.0207962247565292	0.00497351315089408	0.0510074255707974	0.00291471003261699	0.00825834509241481	0.0292858960420088
Hungateiclostridiaceae	0.0167480163778945	0.0213976728584978	0.0212820097619654	0.0502209165143769	0.0259085336232622	0.000485785005436165
Peptostreptococcaceae	0.0337967568067732	0.0137870411066645	0.0275046843554096	0.0466353605218719	0.0269263688727475	0.0139489694418099
Sedimentibacteraceae	0.0375442411344237	0.0433967938189641	0.0354160401582271	0.0154294570774249	0.0439288440630133	0.000925304772259363
Christensenellaceae	0.0325475953642231	0.0308589141548498	0.031298433921673	0.0176039232922344	0.0386083416225219	0.00263711860093918
Comamonadaceae	0.0243817807490342	0.0365495385042449	0.0343288070508224	0.00226699669203544	0.0084202734275602	0.00807328413796294
Anaerolineaceae	0.00208193573758357	0.000994702630178815	0.00182747692521224	0.0346757963404196	0.00342362765735964	0.000416387147516713
Bacteroidetes_vadinHA17	0.0311133729672211	0.0336579610909343	0.0303268639108006	0.0334960327557889	0.03125216868306	0.00263711860093918
Mycobacteriaceae	0.0274121538781836	0.0322237386939323	0.0239191283629045	0.0331259108468852	0.0297485484281385	0.0248906983737769
Sphingobacteriaceae	0.000485785005436166	0.000971570010872331	0.00168868120937334	0.00134169191977608	0.00062458072127507	0.0328945846538204
Rhodobacteraceae	0.0275972148326355	0.0303962617687201	0.0208887552337551	0.0192000740243818	0.0259547988618751	0.0157070485091027
Prolixibacteraceae	0.0222073145342247	0.0272039603044253	0.0212357445233524	0.0255615443336649	0.0303268639108006	0.00235952716926138
Thermomonosporaceae	0	2.31326193064841e-05	0	0.00425640195239307	0.000208193573758357	0.0249600962316963
Clostridiaceae	0.013856438964584	0.0153137939808925	0.013139327766083	0.0243123828911148	0.015290661361586	0.00777256008697865
Synergistaceae	0.0125378796641144	0.0157301811284092	0.0115431770339356	0.0230169562099517	0.0141571630155683	0.00120289620393717
Nocardiaceae	0.0204261028476254	0.0214670707164172	0.016007772560087	0.0167480163778945	0.0201022461773347	0.0197321242684309
Microbacteriaceae	0.00955377177357792	0.0112193203636448	0.00892919105230285	0.00999329154040112	0.0111961877443383	0.0196627264105115
Rikenellaceae	0.0123528187096625	0.0139952346804229	0.0158458442249416	0.0142265608734877	0.0189456152120105	0.00210506835689005
ST-12K33	0.0100395567790141	0.0120058294200652	0.0126535427606468	0.0160309051793935	0.0153600592195054	6.93978579194522e-05
Bacillaceae	0.000138795715838904	0.000208193573758357	0.00074024381780749	0.0158921094635546	0.000532050244049134	0.00307663836776238
Rhizobiaceae	0.00564435911078211	0.00763376437113974	0.00425640195239307	0.00499664577020056	0.00573688958800805	0.0129542668116311
JG30-KF-CM45	0.00805015151865646	0.00772629484836568	0.00569062434939508	0.0063846029285896	0.00747183603599435	0.012422216567582
Staphylococcaceae	0	6.93978579194522e-05	6.93978579194522e-05	0.000300724050984293	0	0.0121908903745171
Cloacimonadaceae	0.00675472483749335	0.00895232367160934	0.00615327673552476	0.00386314742418284	0.0112887182215642	0.000138795715838904
Methanoregulaceae	0.00233639454995489	0.00201253787966411	0.00231326193064841	0.00902172152952879	0.00594508316176641	0.00062458072127507
Methylococcaceae	0	0	0	0.00277591431677809	0.000393254528210229	0.00897545629091582
Streptomycetaceae	2.31326193064841e-05	4.62652386129681e-05	0.00011566309653242	0.00104096786879178	0.000393254528210229	0.00837400818894724
Caldatribacteriaceae	0.00321543408360129	0.00432579981031252	0.00330796456082722	0.00818894723449536	0.00344676027666613	0.00148048763561498
Ilumatobacteraceae	0.00756436651322029	0.00633833768997664	0.00800388628004349	0.00416387147516713	0.00393254528210229	9.25304772259363e-05
