Taxonomy	A4	A5	A6	A52	A53	A54
Methanosaeta	0.174975132434246	0.194267736935853	0.165583288995813	0.0941266279580837	0.199472576279812	0.101552198755465
Glutamicibacter	0.00194314002174466	0.00268338383955215	0.000855906914339911	0.00992389368248167	0.00427953457169955	0.167942816165074
Psychrobacter	0.000693978579194522	0.000439519766823197	0.000300724050984293	0.0118439010849198	0.00492724791228111	0.152189502417359
Candidatus_Microthrix	0.0589419139929214	0.00555182863355618	0.0719887112817784	0.135973536283513	0.0527655046380902	0.0129311341923246
Acinetobacter	0.0543847879895441	0.0513775474797011	0.0555414189548683	0.0356704989705985	0.0174188623377825	0.0392560549631035
Stenotrophomonas	0.0187142890189456	0.00462652386129681	0.0496888662703278	0.00157301811284092	0.00582942006523399	0.0219991209604664
Fastidiosipila	0.0153831918388119	0.0194776654560596	0.0200097157001087	0.0487172962594555	0.0247750352772444	0.000485785005436165
Sedimentibacter	0.0375442411344237	0.0433967938189641	0.0354160401582271	0.0154294570774249	0.0439288440630133	0.000925304772259363
Christensenellaceae_R-7_group	0.0311133729672211	0.0293784265192348	0.0300261398598163	0.016724883758588	0.0375905063730366	0.00263711860093918
Lysinibacillus	0.0027527816974716	0.0121214925165977	0.0211663466654329	0.00272964907816512	0.000346989289597261	0.0362950796918735
Romboutsia	0.0229706909713387	0.00684725531471929	0.0182979018714289	0.0334729001364825	0.0185523606838002	0.01013208725624
Mycobacterium	0.0274121538781836	0.0322237386939323	0.0239191283629045	0.0331259108468852	0.0297485484281385	0.0248906983737769
Comamonas	0.0193388697402207	0.0310671077286081	0.0303268639108006	0.000647713340581554	0.00451086076476439	0.00687038793402577
Sphingobacterium	0.000485785005436166	0.000971570010872331	0.00164241597076037	0.000902172152952879	0.000416387147516713	0.029725415808832
Chryseomicrobium	0.00229012931134192	0.00481158481574869	0.00404820837863471	0.00564435911078211	0.00312290360637535	0.0238959957435981
Sporosarcina	0	6.93978579194522e-05	0.000254458812371325	0.00111036572671124	0.000300724050984293	0.0238265978856786
Clostridium_sensu_stricto_1	0.0126304101413403	0.0147586111175368	0.0121446251359041	0.0237340674084527	0.0144347544472461	0.007263642462236
Gordonia	0.0201716440352541	0.021027550949594	0.0155682527932638	0.0163316292303778	0.019685859029818	0.0163778944689907
unidentified_Anaerolineaceae	0.000971570010872331	0.000601448101968586	0.000971570010872331	0.0188530847347845	0.00175807906729279	0.000370121908903745
Planococcus	0	0	0	0.00314603622568183	0.000948437391565847	0.0168174142358139
Thermovirga	0.00906798676814176	0.0123065534710495	0.00763376437113974	0.0162159661338453	0.0103171482106919	0.00111036572671124
Psychrobacillus	0.000208193573758357	0.00062458072127507	0.000670845959888038	0.000717111198501006	0	0.0124916144255014
Amaricoccus	0.0122140229938236	0.0111036572671124	0.00862846700131856	0.00846653866617317	0.0117051053690809	0.00296097527122996
DMER64	0.00631520507067015	0.00786509056420459	0.00844340604686669	0.0104790765458373	0.010941728931967	0.0014573550163085
Methanolinea	0.00233639454995489	0.00201253787966411	0.00222073145342247	0.00902172152952879	0.00594508316176641	0.00062458072127507
Paracoccus	0.00256772074301973	0.00430266719100604	0.00333109718013371	0.00185060954451873	0.00353929075389206	0.0088597931943834
Microbacterium	0.00367808646973097	0.00402507575932823	0.0034930255152791	0.00404820837863471	0.00527423720187837	0.00869786485923801
Streptomyces	2.31326193064841e-05	4.62652386129681e-05	0.00011566309653242	0.00104096786879178	0.000393254528210229	0.00837400818894724
Leucobacter	0.00062458072127507	0.000994702630178815	0.000647713340581554	0.0015961507321474	0.000532050244049134	0.00823521247310833
Candidatus_Caldatribacterium	0.00321543408360129	0.00432579981031252	0.00330796456082722	0.00818894723449536	0.00344676027666613	0.00148048763561498
CL500-29_marine_group	0.00756436651322029	0.00626893983205718	0.00800388628004349	0.00414073885586065	0.00386314742418284	9.25304772259363e-05
Rikenellaceae_RC9_gut_group	0.00596821578107289	0.00594508316176641	0.00730990770084897	0.00351615813458558	0.00795762104143052	0.000647713340581554
W5	0.00501977838950704	0.00687038793402577	0.00427953457169955	0.00178121168659927	0.00765689699044623	0.000138795715838904
Rhodanobacter	0	0	0	0	0	0.00761063175183326
Longilinea	0.000439519766823197	0.000185060954451873	0.000485785005436166	0.00758749913252678	0.000532050244049134	0
