Taxonomy	A4	A5	A6	A52	A53	A54
Micrococcales	0.0925536098452428	0.103264012584145	0.0731916074857156	0.0855675588146846	0.0783501815910616	0.209234541627148
Methanosarciniales	0.175322121723843	0.194869185037822	0.165837747808184	0.0948668717758912	0.200074024381781	0.101598463994078
Pseudomonadales	0.0556339494320942	0.0526035763029448	0.0574845589766129	0.0497813967475537	0.0231557519257906	0.192902912396771
Microtrichales	0.0741400448772815	0.0192926045016077	0.089361308380948	0.145319114483333	0.0632908464225405	0.014573550163085
Bacillales	0.00966943487011034	0.0200559809387217	0.0302805986721877	0.0319461472622545	0.00656966388304147	0.135256425085012
Bacteroidales	0.0688889402947096	0.078373314210368	0.071873048185246	0.076221980614865	0.0847347845196511	0.00839714080825372
Peptostreptococcales-Tissierellales	0.0750653496495408	0.058155404936501	0.0661824238358509	0.0646788035809295	0.0730065465312638	0.0151056004071341
Corynebacteriales	0.0485785005436166	0.054523583705383	0.0404589511670406	0.0505216405653612	0.0502440491336834	0.0480927155381804
Xanthomonadales	0.0211894792847394	0.00538990029841079	0.0514006800990076	0.00300724050984293	0.00865159962062504	0.0370584561289875
Oscillospirales	0.0182979018714289	0.0220916514376923	0.0222073145342247	0.0504291100881353	0.0269726341113605	0.00192000740243818
Burkholderiales	0.0332184413241111	0.0451780055055634	0.0415924495130584	0.00582942006523398	0.0121908903745171	0.0141108977769553
Christensenellales	0.0325475953642231	0.0308589141548498	0.031298433921673	0.0176039232922344	0.0386083416225219	0.00263711860093918
Anaerolineales	0.00208193573758357	0.000994702630178815	0.00182747692521224	0.0346757963404196	0.00342362765735964	0.000416387147516713
Sphingobacteriales	0.0105253417844503	0.0129773994309376	0.0143422239700201	0.0173725970991695	0.0160540377986999	0.0329639825117398
Rhodobacterales	0.0275972148326355	0.0303962617687201	0.0208887552337551	0.0192000740243818	0.0259547988618751	0.0157070485091027
Rhizobiales	0.0270420319692799	0.0303037312914942	0.0189456152120105	0.0260704619584076	0.0301186703370423	0.0216752642901756
Streptosporangiales	0	2.31326193064841e-05	0	0.0046496564806033	0.000231326193064841	0.0263249207707789
PeM15	0.016724883758588	0.0208656226144486	0.0177889842466863	0.0253070855212936	0.0171412709061047	0.00212820097619653
Clostridiales	0.013856438964584	0.0153137939808925	0.0131624603853894	0.0243123828911148	0.015290661361586	0.00777256008697865
Cloacimonadales	0.0149899373106017	0.0181822387748965	0.0136713780101321	0.0121446251359041	0.0242892502718083	0.000971570010872331
Synergistales	0.0125378796641144	0.0157301811284092	0.0115431770339356	0.0230169562099517	0.0141571630155683	0.00120289620393717
Thermomicrobiales	0.00805015151865646	0.00772629484836568	0.00569062434939508	0.0063846029285896	0.00747183603599435	0.0146892132596174
Methanomicrobiales	0.00511230886673298	0.0050891762474265	0.00501977838950704	0.0145041523051655	0.0110573920284994	0.00266025122024567
Staphylococcales	0	6.93978579194522e-05	0.00011566309653242	0.000300724050984293	0	0.0121908903745171
Gaiellales	0.00238265978856786	0.00437206504892549	0.00365495385042448	0.00994702630178815	0.00724050984292951	0.00138795715838904
Propionibacteriales	0.00962316963149737	0.00946124129635199	0.00809641675726942	0.00652339864442851	0.00862846700131856	0.00365495385042448
Methylococcales	0	0	0	0.00277591431677809	0.000971570010872331	0.00897545629091582
Streptomycetales	2.31326193064841e-05	4.62652386129681e-05	0.00011566309653242	0.00104096786879178	0.000393254528210229	0.00837400818894724
Caldatribacteriales	0.00321543408360129	0.00432579981031252	0.00330796456082722	0.00818894723449536	0.00344676027666613	0.00148048763561498
Enterobacterales	0.00492724791228111	0.00527423720187837	0.00747183603599435	0.000786509056420458	0.000370121908903745	0.00175807906729279
Flavobacteriales	0.00166554859006685	0.00326169932221425	0.00293784265192348	0.00117976358463069	0.000555182863355618	0.00721737722362303
Lactobacillales	0.00659279650234796	0.00488098267366814	0.00592195054245992	0.00104096786879178	0.00198940526035763	0.0056674917300886
Thermoactinomycetales	0	0	9.25304772259363e-05	0.000208193573758357	0	0.0062458072127507
Aminicenantales	0.00323856670290777	0.00296097527122996	0.00245205764648731	0.00599134840037938	0.00358555599250503	0.000208193573758357
DTU014	0.00185060954451873	0.000693978579194522	0.00384001480487636	0.00578315482662102	0.00340049503805316	0
