Taxonomy	A4	A5	A6	A52	A53	A54
Actinobacteriota	0.252353744014435	0.221240371047214	0.241273219366629	0.337828772351893	0.234148372620232	0.318813759281964
Proteobacteria	0.17777417937033	0.177612251035185	0.20396030442527	0.111105970529043	0.106942099053876	0.301441162182794
Halobacterota	0.180434430590576	0.199958361285248	0.170857526197691	0.109371024081057	0.21113141641028	0.104258715214324
Firmicutes	0.166901848296282	0.160794836799371	0.183071549191515	0.207638390895001	0.174165490758519	0.194499063128918
Bacteroidota	0.0830229706909714	0.0952138610654884	0.0898702260056907	0.0948206065372782	0.102199912096047	0.0498045293668603
Acidobacteriota	0.0673621874204816	0.075458604177751	0.0447847509773532	0.0230400888292581	0.0845959888038122	0.00636147030928312
Chloroflexi	0.0162853639917648	0.0127460732378727	0.0115200444146291	0.0473756043396794	0.0158921094635546	0.0153369266001989
Cloacimonadota	0.0149899373106017	0.0181822387748965	0.0136713780101321	0.0121446251359041	0.0242892502718083	0.000971570010872331
Synergistota	0.0125378796641144	0.0157301811284092	0.0115431770339356	0.0230169562099517	0.0141571630155683	0.00120289620393717
Patescibacteria	0.00835087556964075	0.00532050244049134	0.00770316222905919	0.010941728931967	0.00913738462606122	0.0015961507321474
Caldatribacteriota	0.00328483194152074	0.00448772814545791	0.00337736241874667	0.00860533438201208	0.00374748432765042	0.00148048763561498
Desulfobacterota	0.00626893983205718	0.00670845959888038	0.00684725531471928	0.00409447361724768	0.00844340604686669	0.000346989289597261
Verrucomicrobiota	0.00252145550440676	0.000393254528210229	0.00451086076476439	0.0014573550163085	0.00330796456082722	0.00011566309653242
Planctomycetota	0.000323856670290777	9.25304772259363e-05	6.93978579194522e-05	9.25304772259363e-05	9.25304772259363e-05	0.0020356704989706
Euryarchaeota	0.0015961507321474	0.0010178352494853	0.00120289620393717	0.00198940526035763	0.00106410048809827	0.000277591431677809
Nanoarchaeota	0.000670845959888038	0.000601448101968586	0.000578315482662102	0.000346989289597261	0.00127229406185662	0
Hydrogenedentes	0.000647713340581554	0.000138795715838904	0.000786509056420458	0.000809641675726943	0.000763376437113974	0.00011566309653242
Myxococcota	0.00011566309653242	0	6.93978579194522e-05	0.000763376437113974	0.000300724050984293	9.25304772259363e-05
WPS-2	0.000393254528210229	0.000670845959888038	0.000693978579194522	0.000393254528210229	0.000346989289597261	0
Gemmatimonadota	4.62652386129681e-05	0.000185060954451873	0.000161928335145389	0.000277591431677809	0.00011566309653242	0.000670845959888038
Spirochaetota	0.000532050244049134	0.000277591431677809	0.000601448101968586	0.000231326193064841	0.000462652386129682	0
Caldisericota	0.000578315482662102	0.000462652386129681	0.000578315482662102	0.000208193573758357	0.000254458812371325	0
Armatimonadota	0.000138795715838904	0	9.25304772259363e-05	0.000370121908903745	0.000161928335145389	0.00011566309653242
Latescibacterota	0	0.000208193573758357	0.000185060954451873	0	0.000300724050984293	0
Thermotogota	0.000161928335145389	0.000300724050984293	0.000185060954451873	0	0.000138795715838904	0
Dependentiae	9.25304772259363e-05	9.25304772259363e-05	9.25304772259363e-05	0	0.000208193573758357	0
Fermentibacterota	0.000138795715838904	0.000208193573758357	9.25304772259363e-05	9.25304772259363e-05	6.93978579194522e-05	6.93978579194522e-05
Sva0485	0.000208193573758357	9.25304772259363e-05	9.25304772259363e-05	0.000138795715838904	6.93978579194522e-05	0
Thermoplasmatota	0.000185060954451873	0.000208193573758357	0.000138795715838904	0.000185060954451873	0.000208193573758357	0
Bdellovibrionota	0.000185060954451873	0.00011566309653242	9.25304772259363e-05	0.00011566309653242	4.62652386129681e-05	6.93978579194522e-05
SAR324_clade(Marine_group_B)	0.000138795715838904	0	0	0	4.62652386129681e-05	0
Crenarchaeota	2.31326193064841e-05	0	0	0	0.00011566309653242	0
Sumerlaeota	0.00011566309653242	2.31326193064841e-05	0	0	6.93978579194522e-05	0
Deinococcota	0	0	0	0	9.25304772259363e-05	4.62652386129681e-05
Campylobacterota	0	0	0	0	6.93978579194522e-05	0
