Taxonomy	A4	A5	A6	A52	A53	A54
Pelotomaculum_sp_DTU098	0.000809641675726943	0.000300724050984293	0.000555182863355618	0.0161003030373129	0.00141108977769553	0.000254458812371325
swine_fecal_bacterium_SD-Pec10	0.00659279650234796	0.00823521247310833	0.00594508316176641	0.0121677577552106	0.00832774295033427	0.00365495385042448
Sphingobacterium_mizutaii	0.000346989289597261	0.000323856670290777	0.000370121908903745	0.000277591431677809	0.000346989289597261	0.0108029332161281
Sporosarcina_sp_AB_64	0	0	0	0.00050891762474265	0.000300724050984293	0.00807328413796294
Atribacteria_bacterium_JGI_0000079-F20	0.00321543408360129	0.00432579981031252	0.00316916884498832	0.00795762104143052	0.00344676027666613	0.00148048763561498
Sphingobacterium_humi	0	9.25304772259363e-05	0.000277591431677809	9.25304772259363e-05	0	0.00418700409447362
candidate_division_CPR1_bacterium_ADurb.Bin160	0.00272964907816512	0.00328483194152074	0.00161928335145389	0	0.00208193573758357	0
Actinomadura_sputi	0	0	0	0.00307663836776238	0.00011566309653242	0.000254458812371325
toluene-degrading_methanogenic_consortium_bacterium	0.000161928335145389	0.000300724050984293	0.000416387147516713	0.0027527816974716	0.000346989289597261	0.00011566309653242
bacterium_CYCU-0215	0	0	0	6.93978579194522e-05	0.000693978579194522	0.00254458812371325
Solirubrobacterales_bacterium_67-14	0.00131855930046959	0.00171181382867982	0.00138795715838904	0.00233639454995489	0.00166554859006685	0.000786509056420458
Clostridium_sp_enrichment_culture_clone_VanCtr93	0.00173494644798631	0.00210506835689005	0.00222073145342247	0.0010178352494853	0.00201253787966411	0.000277591431677809
Planomicrobium_glaciei	0	0	0	0.000323856670290777	0.000300724050984293	0.00210506835689005
Verrucomicrobia_bacterium_ADurb.Bin063	0.000994702630178815	2.31326193064841e-05	0.00198940526035763	0.000161928335145389	0.00138795715838904	0
Luteimonas_mephitis	0	0	0	0	0	0.0015961507321474
Koukoulia_aurantiaca	0.000786509056420458	0.00148048763561498	0.000832774295033427	0	0	0
Gordonia_phosphorivorans	0.00011566309653242	0.000370121908903745	0.000138795715838904	0.000138795715838904	0.000323856670290777	0.0014573550163085
Thauera_terpenica	0.00120289620393717	0.00108723310740475	0.00136482453908256	0.00011566309653242	0.000948437391565847	0.000393254528210229
Candidatus_Diapherotrites_archaeon_ADurb.Bin253	0.000670845959888038	0.000601448101968586	0.000578315482662102	0.000346989289597261	0.00127229406185662	0
Neisseria_sp_93S1	0.00122602882324366	0.00050891762474265	0.000208193573758357	0	6.93978579194522e-05	0
Peptostreptococcaceae_bacterium_SK031	0.000462652386129681	0.000185060954451873	0.000370121908903745	0.00108723310740475	0.000323856670290777	0
Paracoccus_alkenifer	0.000346989289597261	0	0.000346989289597261	0.00050891762474265	0.000370121908903745	0.00106410048809827
bacterium_QTYC46b	4.62652386129681e-05	9.25304772259363e-05	4.62652386129681e-05	4.62652386129681e-05	0.000277591431677809	0.00104096786879178
Aquihabitans_daechungensis	0.00062458072127507	0.000439519766823197	0.000948437391565847	0.000832774295033427	0.000670845959888038	0
Gemmobacter_intermedius	0.000208193573758357	0.000925304772259363	0.000670845959888038	0	0.000185060954451873	0
Nocardioides_sp_PBT33-2	0	0	0	0.000161928335145389	0	0.000855906914339911
Methanobrevibacter_smithii	0.000832774295033427	0.000485785005436166	0.000254458812371325	0.000161928335145389	0.000208193573758357	4.62652386129681e-05
Psychrobacter_arenosus	0	0	0	6.93978579194522e-05	0.000138795715838904	0.000809641675726943
candidate_division_WS6_bacterium_GW2011_GWE2_33_157	0.000416387147516713	4.62652386129681e-05	0.000693978579194522	0.000578315482662102	0.000208193573758357	0.000416387147516713
Burkholderiales_bacterium_Beta_02	0.000393254528210229	0.000670845959888038	0.000693978579194522	0.000393254528210229	0.000346989289597261	0
Prosthecomicrobium_hirschii	0.000393254528210229	0.000670845959888038	0.000277591431677809	6.93978579194522e-05	0.000277591431677809	0
Luteimonas_padinae	0	0	0	0.000647713340581554	0	0
Pseudomonas_formosensis	0	0	0.00011566309653242	0.000647713340581554	0	0
Sphingobacterium_kyonggiense	0	0	0	0	0	0.000601448101968586
Dietzia_maris	0	0	0	0	0	0.000578315482662102
