ID	Taxonomy
ASV0	k__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosaetaceae;g__Methanosaeta
ASV1	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae
ASV10	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidetes_vadinHA17;g__;s__
ASV100	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter
ASV1003	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Amb-16S-1323;g__;s__
ASV1005	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae
ASV1006	k__Bacteria;p__Actinobacteriota;c__WCHB1-81;o__;f__;g__;s__
ASV101	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium
ASV102	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__DMER64;s__
ASV1022	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales
ASV1025	k__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__;g__;s__
ASV1029	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella
ASV103	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Thermomonosporaceae
ASV1030	k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__;s__
ASV1032	k__Bacteria;p__Caldatribacteriota;c__JS1;o__;f__;g__;s__
ASV1034	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__;f__;g__;s__
ASV1036	k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__;s__
