function	Bottom	Middle	Top
K01990	0.004873215741670102	0.00470830570522614	0.004341441180484128
K01992	0.004400456828260513	0.004232285449112865	0.003932874999888232
K03088	0.004052928051992884	0.003954019122189567	0.00368275604360487
K02004	0.0030313869007038796	0.0027709382316600264	0.0022814755181234914
K06147	0.0029799752133923803	0.0029269284762514637	0.0026650434743247095
K02003	0.002814400739842433	0.0026736401240216624	0.002215706421998398
K00626	0.0028114262093918963	0.0023677305082381314	0.0025969242447789645
K00059	0.002676177929396384	0.002541738490504707	0.0026727795462991913
K02035	0.0023760081215595773	0.0024037596074847553	0.0025794493310375326
K02015	0.0016947382313290576	0.0019529065523668939	0.002558689276994726
K02016	0.0018532840755296884	0.0022641172812944152	0.0023261708691338064
K07090	0.002244074152186359	0.0021454362930182253	0.0022363238732052352
K02034	0.0017586494326178954	0.001797884858488206	0.0021478571883276607
K02033	0.0017371950797361658	0.001784417602012659	0.002104912194815072
K01897	0.001999671861661009	0.0016158394890476834	0.0017805437574794111
K00666	0.0019646023487375464	0.0015248194781773403	0.0017863462510497796
K02013	0.001652747434750228	0.0018667902794065152	0.001956234495617056
K02032	0.0015171234941122511	0.0016177689802849534	0.0019464087909635854
K02529	0.0015340668635300404	0.0016663909870838073	0.0018637671066391221
K01915	0.0018243542631510986	0.0017957641869817702	0.0014808129932250423
K01692	0.0018052107505845826	0.0013073432319892463	0.001255310521808751
K03704	0.0014956558339130894	0.0015062057804915443	0.0016858734096476652
K01784	0.0016475025773731037	0.0015888216753875933	0.0012764333251124758
K03924	0.0015451978924117806	0.0013683171913265295	0.0013297699508094437
K03657	0.0015330856706580686	0.001483025558506647	0.0013759950733030302
K03574	0.001447293592320631	0.001231771697543603	0.0015289228996875008
K00257	0.0015197495699915166	0.0013652521365969917	0.0015164511299574778
K01952	0.0014720048865006156	0.0014821198432669797	0.001379093827653569
K07001	0.001461992263719478	0.0011060118972892133	0.0009576510153919913
K01996	0.0014427504741494107	0.0012395019004980785	0.0010531411976537083
K07025	0.0014349093098549798	0.0012241742615216144	0.0010041028781531266
K02030	0.0012074756233641788	0.0014151241682326971	0.0014125380610760297
K02057	0.0014104962967309105	0.0013230744166226258	0.0011105093866344055
K08884	0.0013854955930399642	0.0012607278467137702	0.001169879993735964
K03496	0.0013820276075445126	0.0013296478709662488	0.0012841322957325941
