function	Bottom	Middle	Top
PF00005	0.0033254794305446296	0.0034255584983936835	0.003149611060625734
PF02518	0.00329262769020058	0.003381152999442959	0.0031228656919456113
PF04055	0.0032203403780078706	0.0033182193571706254	0.002932948616104792
PF00072	0.003214579954601619	0.0032623696838110614	0.0030516004928816116
PF00271	0.0031307901212978425	0.00323166311399928	0.003015314021253831
PF00512	0.0030189769909798126	0.0030950729423571094	0.0028649428603493873
PF07992	0.003005221300353697	0.003056997875723313	0.002926233038943118
PF00528	0.003009193920049989	0.003041849355186538	0.002901324371525974
PF07690	0.0029709416712923754	0.0029660272445404348	0.002933210388079436
PF00155	0.0028508231636486673	0.0029696870736445153	0.0027838432993473505
PF00571	0.00287032630254936	0.0029583232901033863	0.0026450698145836287
PF00534	0.002822719563499895	0.002886762267195649	0.0024744401474204596
PF00535	0.0028020795177008443	0.00286775484560261	0.0023790931663354655
PF00583	0.002744479073625242	0.0028388881114123823	0.002641939418453694
PF00270	0.0026594665013665014	0.002703399619938821	0.0025838056685619612
PF00753	0.002570373004961861	0.002649399447692419	0.0024163722640682035
PF00486	0.0026008328176816893	0.002528995954029529	0.0025927879802841868
PF00501	0.0025077585419618674	0.0025235470796035526	0.002600462299885592
PF04542	0.00256666822587026	0.002505497517522727	0.002311284762269232
PF00440	0.0024905433512796785	0.0024692740895627388	0.0025448278835197265
PF00004	0.002439534318682517	0.002529541031993836	0.0023275876398635926
PF13561	0.0024523548188903196	0.0023838510323451524	0.0025060576152662324
PF00009	0.002412838453438246	0.002430102361380975	0.002224348533324256
PF00293	0.002392609019280382	0.002273950907595334	0.0024210049462139497
PF13439	0.0023332011081509435	0.0023280747330781406	0.001835318437543295
PF01926	0.002242054464364206	0.0023273714756261517	0.0022222036146723476
PF00171	0.002171181218583549	0.002075455725037854	0.0023201198453338943
PF00672	0.0023065526400371504	0.002313650566787539	0.0021211756652182836
PF01381	0.0021950092676113107	0.002262934756471168	0.0021690727879512734
PF13193	0.0020279421855869994	0.0019436068487796723	0.002251896986191784
PF00106	0.002175062611065391	0.001998565484631514	0.002250096771851238
PF12833	0.0020893797015915793	0.002214299861442065	0.0021447176639236057
PF00664	0.0021863169549156437	0.0021613371031388127	0.0021536920005880405
PF00892	0.0021659082766707378	0.0021028235180605916	0.0021811649176750394
PF00132	0.0020437762604492565	0.0021501707186763175	0.0019499700997108957
