function	Bottom	Middle	Top
TIGR00231	0.01039660001125928	0.010566264296062314	0.009515939074497123
TIGR02937	0.008260274337160946	0.00798554848184486	0.0074012498109024645
TIGR00229	0.005964461134937441	0.006613940925513789	0.005199437951280367
TIGR01494	0.005432230082404675	0.00532414199472046	0.004557756847006344
TIGR00254	0.004468407004100947	0.004791591719248755	0.004500087459962193
TIGR01509	0.004322184373578926	0.00410092292112718	0.003911755707455317
TIGR01930	0.0036467400877680683	0.003258427239822632	0.004233339930150498
TIGR00711	0.003107091852735579	0.0029564393657044276	0.0034970161303680396
TIGR01726	0.0023317255578618966	0.002604039315579871	0.0032127518983256424
TIGR00125	0.003090059279041845	0.00321167607374776	0.003111063767533506
TIGR01730	0.0028526709847838255	0.0031830849654095306	0.002788676316387506
TIGR02532	0.0023618752468849424	0.002369980805554019	0.003156829028815252
TIGR01525	0.0030862897784787397	0.002969163019900795	0.00277577647517711
TIGR01727	0.0029798621214542392	0.0030184614271228224	0.002870270886309886
TIGR00177	0.002970266799457909	0.0030124604928502847	0.0026257584315834883
TIGR01549	0.002932435940796409	0.0028898548918462035	0.002798829041768425
TIGR00530	0.0026722535289816253	0.0025674864916805343	0.0024534437633240303
TIGR01764	0.0025787914157235268	0.0021044441888553376	0.0020771451759304823
TIGR00797	0.0023948789722999346	0.002509939126196676	0.0019425479364294541
TIGR00277	0.002382450946205697	0.002462956694401432	0.0017707607442203266
TIGR01891	0.0019798702789515315	0.0017169747048107744	0.0024069830817294016
TIGR01068	0.0022985169301488985	0.00225885625634483	0.002058377565210143
TIGR03083	0.0022878288894592315	0.0018635383091349755	0.002006705214644666
TIGR00089	0.0022574785084593725	0.00226442120496112	0.0018707302411091337
TIGR00005	0.002013151604877109	0.0020634703376727305	0.002215535231650168
TIGR01297	0.002155203070194319	0.0021995173389485695	0.002082753640527011
TIGR01484	0.002002602785474854	0.001957023328816569	0.002128393489719811
TIGR00369	0.0018241032713196023	0.001845451396576267	0.0020300152872054955
TIGR03026	0.0020294591612615995	0.0020222720014864432	0.001850233845302037
TIGR00778	0.001926229944902542	0.0018466237392111666	0.001844314677394985
TIGR01511	0.001886909755291428	0.0018840517083754918	0.0019162509745166338
TIGR01552	0.0018966522981854349	0.0011750846413132116	0.0011494569199680988
TIGR00093	0.0014783116969898052	0.0014343382747790772	0.00184172342720474
TIGR02946	0.0017894483982771883	0.000995276625753163	0.0010354979358501875
TIGR01141	0.0017182393763026963	0.0017195329105210912	0.001785808138957924
