pathway	Bottom	Middle	Top
PWY-3781	0.014115813742031254	0.012727617088922531	0.01399913077953168
PWY-7111	0.008890878657736896	0.008938011987972373	0.008836504765780434
PWY-5101	0.008845095236760097	0.008894334313502816	0.008298409441259702
VALSYN-PWY	0.008363463621443202	0.008371927799623037	0.00786738828461808
ILEUSYN-PWY	0.008363463621443202	0.008371927799623037	0.00786738828461808
BRANCHED-CHAIN-AA-SYN-PWY	0.007921063745558978	0.007889476166525335	0.007243810978471632
PWY-5104	0.00721870908447541	0.007836208137843161	0.0050065350736122095
PWY-5103	0.00710355934198175	0.007180406300427897	0.0066999885473000296
PWY-7208	0.00700127045630566	0.007130912156327742	0.006645204677058247
PWY-7219	0.006800945485915333	0.006981144654120556	0.006408920342555863
SER-GLYSYN-PWY	0.006723710502958461	0.006916718182886115	0.006710808036573542
PWY-3001	0.006702711328713578	0.006898111932989598	0.006236049972717179
PWY-7229	0.006744283122090797	0.00680561570400487	0.006493312269787596
P42-PWY	0.006548167178634907	0.006804643468061623	0.00560447616152309
NONOXIPENT-PWY	0.006769865581231443	0.006367476451185739	0.005878410332844047
PWY-2942	0.0066404358396123	0.0067461789968997505	0.006497131981379676
PWY-5686	0.00653386398065578	0.006735846517225582	0.006237879668344031
CALVIN-PWY	0.006453414322422912	0.006607532189866747	0.005943072632647427
PWY-6277	0.006344928887918603	0.006581507458341227	0.006101980055375581
PWY-6122	0.006344928887918603	0.006581507458341227	0.006101980055375581
PWY-6121	0.006331910479891609	0.006571163610212254	0.00611605922446386
THRESYN-PWY	0.006210280393863092	0.0065418862207720745	0.005753160825501253
PWY0-162	0.006333356649170881	0.0064958028580215715	0.00612316253409756
TCA	0.006295738841098004	0.006111403578813901	0.006483973225478039
PWY-6126	0.00641280222818366	0.006462355062724045	0.0062055121816716255
PWY-6969	0.006443764021243637	0.006272706199429315	0.006340326376316838
PWY-5695	0.006396777106032983	0.005832297229472866	0.0058053142964019575
PHOSLIPSYN-PWY	0.006279155243369412	0.006378300721208565	0.006064060630346996
PWY-5097	0.006259473417256183	0.006375269783713745	0.006132326472762036
PWY-841	0.006171283519808837	0.006329236224117588	0.005975004996932118
PWY-7228	0.006322407265888567	0.006319008272605717	0.006131112379111851
ANAGLYCOLYSIS-PWY	0.006306308949206598	0.006167483352649952	0.005575866272840257
PWY0-1319	0.00622753053669714	0.006300772528472594	0.006105491586601166
PWY-5667	0.00622753053669714	0.006300772528472594	0.006105491586601166
PWY-7094	0.00531765655252622	0.0049858474872830315	0.006297057099673573
