function	A4	A5	A6	A52	A53	A54
COG0438	0.004671578857788377	0.004671139500524247	0.0044623501142757255	0.004807719154638986	0.005117398772504045	0.0036304380833687326
COG1028	0.004225190423699251	0.004167135705498922	0.004230937372929975	0.004394693580076593	0.004254767370812	0.004423771469255795
COG2814	0.0038546740266189373	0.0037871296586319252	0.003917961322452424	0.004041842517760784	0.003697289983468113	0.004319289495815506
COG0745	0.004212161797501582	0.004114123569753187	0.004224676431741976	0.004318129394813415	0.00413089982895651	0.0039525605239029305
COG0642	0.004245148418233307	0.004306225471059504	0.004223723222198981	0.004025687482158681	0.004270128817236823	0.00381160325195687
COG1309	0.003995411433851227	0.003933245644079637	0.003973788715143854	0.003958535957381149	0.003915976269102365	0.003925188384753782
COG1960	0.0029693681527166145	0.0028788771073418058	0.0030836669677298837	0.003208343319292977	0.0026746046902919934	0.003936852244113257
COG0583	0.002988097897908687	0.003097187505893658	0.002991988815623269	0.002606125398031984	0.0027221300972373294	0.0038827611488602373
COG1131	0.0035828199448568044	0.003525438536296013	0.0035279557120582237	0.0038538660862245215	0.003866664799536298	0.0030330631952286066
COG0596	0.0033948968892992737	0.0032740320811466667	0.003490072229586499	0.00355944502606669	0.003132991329817675	0.003698295582913344
COG1012	0.002951661092755059	0.0028534719679851835	0.003013489546459625	0.0031756341589194393	0.00277164827667627	0.0036116574332247563
COG0451	0.0030765542043069876	0.002978668881358129	0.0030308945893871386	0.003386002165196208	0.003365866429943585	0.0022023194147297075
COG1595	0.003110396007991775	0.0031025767485832337	0.0031416988983861455	0.003379593098547148	0.003202502150024676	0.0028991158070974807
COG1132	0.0029022012498476444	0.0028449730256712596	0.0028696179092086147	0.003209027115562873	0.0029901155710640266	0.0029153100501291634
COG1846	0.002690456470486843	0.00288870137939638	0.0026076634742895543	0.0026002703282320375	0.0026832681626415395	0.0031255748014660354
COG0318	0.002505296975948775	0.002406985948049959	0.00252304426134449	0.002840920363179233	0.0023564531546933086	0.0030034227744465463
COG2207	0.0027598495375284007	0.0029099727485963458	0.00277472923469568	0.0023611621753183753	0.00273119199648691	0.002232330363945019
COG1024	0.0023967103394902014	0.0022601659705691565	0.0025037075978345162	0.002661989218654862	0.0021594801781207795	0.0028676905960870725
COG0463	0.0025558337270962708	0.0023652372331706664	0.0025064341032644947	0.0028570401591195846	0.0027990993796938937	0.00131185505278493
COG1136	0.0026841342790263514	0.0026282955393501363	0.0026426259550761835	0.0027218878337163196	0.0028197863168173774	0.00218505078755184
COG1670	0.0021484860109320203	0.002244614913023855	0.002122651780057683	0.002197197902467399	0.0021427457698242583	0.0027802922327917704
COG2197	0.002532867337285086	0.0025110823713840923	0.002512067378946267	0.0026503295892368103	0.0024555027519349674	0.002769986277333608
COG4974	0.0024614536701824045	0.0022676400895791367	0.002499293333361461	0.002767074036828609	0.002555935199946559	0.0020951660029689596
COG0491	0.00258427830230265	0.0026170450661558153	0.002593697546165762	0.0026335847297961484	0.0025711170512194882	0.0026213585230149966
COG0183	0.0022335857771032075	0.0020685750506487053	0.0022759191281695014	0.0025681255897742126	0.002033550641484007	0.0026302717216638467
COG2141	0.002017996752507267	0.00183705697265143	0.0019280317411187492	0.002493806317796505	0.0019063805266132602	0.0024982977249582493
COG0436	0.0022624371004008265	0.0022900013215523133	0.002188526712903939	0.0022039286778618612	0.0024103862487010875	0.0019948394354602234
COG0300	0.0020452419268252196	0.001865599965291551	0.0020348730406756304	0.0024023682054678	0.00198077247509158	0.001670630022569825
COG0640	0.0023276398918035952	0.002390347286046353	0.002170353469066349	0.0023067151359298156	0.002395654342298055	0.0021885574597455206
COG0601	0.0014827032750799702	0.0015887563027139299	0.001405965693649052	0.0015514374146509571	0.001514030354547002	0.0023367502942653958
COG1173	0.001391954045260538	0.001492981619250831	0.0013410306283770693	0.0015130457119881294	0.0014354215884613529	0.002303252694739722
COG1522	0.0015805440891474083	0.001674637760240685	0.001529925183805966	0.0014149408429838103	0.0015317507816970106	0.0022735440512441345
COG1051	0.0017904987539974892	0.001709621316435877	0.001888236947505838	0.002030419008465976	0.0017566858940284392	0.00225893264932141
COG0456	0.0020083165104294227	0.0021263129361648917	0.002002157940397834	0.0019000790993705958	0.001957085533339295	0.002229962220079262
COG0488	0.0018929278315315723	0.0018624973417205718	0.0019091968838767437	0.0020155365651488605	0.0018682361751332659	0.002212276099556657
