function	A4	A5	A6	A52	A53	A54
EC:2.7.7.7	0.012492409299250868	0.012493674300862515	0.012457981202511625	0.01243777279218013	0.012826234282153005	0.011318608588468669
EC:3.6.4.12	0.011121830899241474	0.011025946974165842	0.011218346029381581	0.011275770138564895	0.011336081055460058	0.009747307249599043
EC:1.6.5.3	0.010952777584517232	0.01072920932101531	0.010737238820130996	0.010372233354793573	0.010969756317805855	0.007022355189366951
EC:2.7.13.3	0.008207996747059415	0.00845129780768958	0.008282364370554943	0.007832014403574755	0.007867887327214542	0.009473512522216608
EC:5.2.1.8	0.006344506755201667	0.006403474726069696	0.006647404853542274	0.005854708617648754	0.005982461330603033	0.005907241581081705
EC:2.7.7.6	0.006005082621385071	0.006090607086599883	0.005921662447936945	0.005601455422934033	0.006353855173620978	0.005153698724707031
EC:2.3.1.9	0.004639654662180493	0.004195315710332845	0.004665029663742388	0.005483536135333761	0.004276015860290347	0.00496815121773119
EC:1.1.1.100	0.004654415537390548	0.004680750392932099	0.004763079738453177	0.005097345524693677	0.004530702831488803	0.005223833465698245
EC:2.7.11.1	0.004711474137582144	0.004639193899836985	0.004607268125646271	0.004902929607220936	0.004906615428463855	0.004414283281899425
EC:4.2.1.17	0.00368223093704741	0.0031035782712231265	0.0037504458040402886	0.004650371692978483	0.0034508392135062242	0.0036805533205990343
EC:6.3.5.7	0.004283211382954807	0.004134113407516785	0.004124810237855307	0.0046482101175314185	0.0044306401371279405	0.004025153767067737
EC:6.3.5.6	0.0038804685222593063	0.0036945423264765757	0.0037467648222127502	0.004350089418573497	0.0039208182342837655	0.0038754833379373434
EC:6.2.1.3	0.0030665151880486397	0.002672854476529118	0.0031774735808666158	0.00412757442277093	0.0031172050482564597	0.0034241967698706924
EC:3.6.3.34	0.0031040435328107824	0.003433668589748207	0.00323292440104855	0.0028570403457233366	0.0032395151900402566	0.003981118260519712
EC:4.2.99.18	0.0036173162938603837	0.0033359794133609654	0.003544455041262813	0.0039748150269064775	0.0036171447177715844	0.0032630934180369157
EC:5.4.2.12	0.003387013072675621	0.0030987848821209312	0.003356256343497539	0.0039273704619112995	0.003479189839695114	0.003020002587835556
EC:2.1.1.72	0.003647659593614466	0.0035269780033158013	0.003599783363839187	0.0038030909182510445	0.003910103321535096	0.0029790816890665883
EC:5.99.1.3	0.003645133356425306	0.00357577835148094	0.003582138367173194	0.0038573080690265226	0.003791603478614497	0.0032334174472077623
EC:6.4.1.2	0.0029624856482291764	0.003091308317307594	0.002948088624208712	0.0027002347891680245	0.002819733713533454	0.0037542950222147287
EC:1.9.3.1	0.0030268823659702353	0.0030072907484211837	0.0031754238825596297	0.0034168929445802395	0.0030110188475127066	0.003728617113656449
EC:3.6.1.27	0.003191364394352188	0.0028440356917745096	0.003253257935278431	0.00367214677992772	0.00308163435368226	0.002758812576883763
EC:1.2.4.1	0.0020853990750427168	0.0021260124763476714	0.0020516735808754514	0.0021671327821576668	0.002054646631720238	0.003667925935989506
EC:1.11.1.15	0.003378197895144301	0.0033132742078492722	0.0034071622888545853	0.0034622183592101182	0.0034842235599478956	0.0030641402523097646
EC:2.2.1.6	0.003381281676554849	0.0033243561551463212	0.0033218932724541363	0.0034630163714919567	0.0034467533625023583	0.003426157718465599
EC:3.4.16.4	0.0024852803796407154	0.0026086704677284254	0.002581265271187132	0.0024669129679916577	0.002461853971403549	0.0034137917735192324
EC:6.3.1.2	0.0031993065181414896	0.0031197629281467117	0.003063677222376011	0.0033747041810370543	0.0033080659373415384	0.0024903744912934873
EC:5.1.3.2	0.003113771022688858	0.0030001213460820173	0.0030006863896937107	0.00330296231590711	0.003208776821736245	0.0021158976872942725
EC:1.2.7.3	0.002838398202925781	0.0028649328109189203	0.002695769195788922	0.0032841346957357253	0.0032956928180632914	0.000872000109904999
EC:2.3.1.128	0.0023130280288865173	0.0023798009746934957	0.0024320624754197236	0.002377922677469501	0.0022598607005479394	0.0032444831454131783
EC:3.6.3.14	0.0030269414339626818	0.0030659760453891766	0.003095778716986532	0.0030295919187834854	0.0030835549370452336	0.0027006106675009833
EC:3.6.1.55	0.002353437018792501	0.002132120837353342	0.0025639899039239635	0.002856950236252146	0.0022772957728802675	0.0030798816402135797
EC:3.1.21.3	0.003026677068679414	0.0029945884651216303	0.0030712638836738453	0.002757329482472954	0.003050918195181937	0.0016072216373761471
EC:4.2.1.20	0.0029753304153915658	0.002947130424162119	0.003015620770738997	0.0029101965188341214	0.0029077684816666075	0.0026346272256699177
EC:3.6.4.13	0.002767419365904441	0.0027358184676338063	0.002989182653799481	0.0026157391029696226	0.0027145111924073433	0.002948381721036519
EC:1.1.1.1	0.002809672789891645	0.0027341369868764897	0.0027805086949234756	0.002953033930321682	0.002588685878643255	0.0029753308610667743
