function	A4	A5	A6	A52	A53	A54
K01990	0.004602167349679134	0.0044522464578505925	0.004521943167696496	0.005137898207083086	0.004981398186897343	0.004192432380482244
K01992	0.004183611819014117	0.004088961426158156	0.004122311488344059	0.004612208948382845	0.004385143482997512	0.003776490550845214
K03088	0.003894916417195938	0.0038889782282243842	0.00393028818791235	0.004207228576540486	0.0040233865804053075	0.0034784122114133458
K02004	0.0028180746296631778	0.0025259298449534957	0.002899091339569965	0.003239689253605416	0.003032244741937331	0.0017716185695254988
K02015	0.0017494279714446229	0.002016630737739157	0.0017878324520427787	0.0016413329514074232	0.001884943391090197	0.0031950504175748662
K06147	0.0028125691787003974	0.002834671269097456	0.002766255681253491	0.003143449498046178	0.0030253226952143726	0.0025814903249499316
K00626	0.0025701326133312804	0.0023242803810771973	0.00254694921003726	0.003047052709237793	0.0024140709672410146	0.0026381798568192306
K02035	0.002309244188087161	0.0023867023857280035	0.002129136008409754	0.0024412040165890337	0.002421951487167758	0.002951193979758427
K02003	0.002678456361324475	0.002516418260137108	0.0026349325899647554	0.0029471522865343884	0.0028413204926132037	0.001869624978891664
K00059	0.0025493196783423575	0.002560500379766107	0.00257528476196846	0.0028000567482313523	0.0025217285476819462	0.0027532638725049443
K02034	0.001708388080646225	0.0018287874489200193	0.001589692392764451	0.0018077303308926722	0.00176492660684301	0.0026086358627052694
K02016	0.0020230543111363665	0.002300838278947235	0.0020167367248603418	0.0016875011163169223	0.002224953578045179	0.0025816163145271206
K02033	0.0016960779290044355	0.0018098166863600587	0.0015669163995382892	0.0017773465403166555	0.0017573289533983599	0.0025490408667393307
K02032	0.0015205866417809057	0.001667301928730612	0.001395701588692549	0.0015137416830035494	0.001564941066612042	0.0024010310398938487
K01897	0.0016986933873167891	0.0014808094670849242	0.0017347936476378631	0.002293581462232723	0.001759851799385533	0.001818311590802129
K07090	0.0022099521409776066	0.0021248431731796043	0.0021769945623707006	0.00227739476325968	0.002167399281114651	0.0022853016686796277
K00666	0.0017058043454150876	0.001435596709694875	0.001725375293255889	0.0022173221419087663	0.0016199774055562137	0.0018366792661935864
K02529	0.001563742601757794	0.0016233224313164422	0.0014807591818333566	0.0015050880988918191	0.0017123244923059713	0.0021799495052263486
K02013	0.00171948218084139	0.0019023141735475227	0.0017650679294406067	0.0015875800415981211	0.0018289033118042328	0.0021140471660833805
K01692	0.0015206395135829332	0.0011756040258577467	0.001494225888814121	0.0020830984592773273	0.00144784581920132	0.0010580800497829
K01915	0.0017722530276540888	0.0017284047895713814	0.00167266466534748	0.0018752318328762476	0.0018676043770597445	0.00132243475106365
K03704	0.0015074558798684086	0.001540546555769501	0.0014658776997547962	0.001484132927495897	0.001469580633619161	0.0018674852425310396
K01784	0.0015902038413330875	0.001513295475704666	0.0015160890925550344	0.0017034555775319233	0.001669371928948075	0.0010785916344381752
K07001	0.0012608268798728905	0.0010202435573953659	0.0013139306209507008	0.0016584330149859187	0.001197485605153688	0.0006635334973005146
K03924	0.001450526516189101	0.001288567969478002	0.0015138414335052035	0.0016376457873378426	0.0014533713853428834	0.0011778144450852559
K03574	0.0013036843635636178	0.0011812333026906075	0.0013998522048204638	0.0015875299702023022	0.0012856719405988475	0.0016354739114220074
K02030	0.0012904458628847258	0.0014506640420290336	0.0011439917712107496	0.0011264540486154925	0.0013772201579975993	0.0016342295837889502
K03657	0.0014702652557738196	0.0014425582819225862	0.0014368196929296275	0.0015944306657996851	0.0015261847456951143	0.0013257828638913564
K01952	0.001426045475236899	0.0014035231825988155	0.001387829435540858	0.0015168848807808044	0.0015659448069538346	0.001371882369936844
K00257	0.0015089582371109155	0.0014654021862099927	0.001564530704165876	0.001530287454282021	0.0012584400379572493	0.0014767602668925503
K01126	0.0010767927065391805	0.0010977328943803303	0.0010932099578887407	0.0011541776258120612	0.0010528609246168216	0.0015604277784043404
K01996	0.0013287719338673763	0.0012311312125370902	0.0013233730830847872	0.0015540520790931797	0.0012484294122829334	0.0008300581746231653
K00128	0.0010039876365991135	0.0010612974249879406	0.0010501043250238247	0.001147252966083605	0.001002036979768493	0.0015490856670280315
K02014	0.0012910585772395382	0.001338488197165379	0.0015430753880373274	0.0009548283971192953	0.001195634540496264	0.0011721062345090515
K07025	0.0013295077497386069	0.0011642209306691733	0.001361713935394971	0.0015378353762487123	0.0012881157284858414	0.000708886214170636
