function	A4	A5	A6	A52	A53	A54
PF00005	0.003352867568544168	0.0033752473755346043	0.0033144033665899893	0.003299079548916178	0.0034781189324414917	0.0030071861090129703
PF02518	0.00331082137582828	0.003332078526657329	0.0032774044684424903	0.003275090494099017	0.0034324214952287675	0.0029893025523555898
PF04055	0.0032430561580484717	0.0032574651299195657	0.0032243438949247694	0.0031984442599081635	0.003381689786234613	0.0026811045858677247
PF00072	0.0032074515314847495	0.0032170692190669806	0.003182059439899056	0.003221451160175848	0.0033096954430906753	0.0029388488136833897
PF00271	0.003183374443981778	0.0031920462023216907	0.003148706149877626	0.00308010321828905	0.0032730512197515407	0.002900027282873625
PF00512	0.0030585910048513036	0.0030773444835797644	0.0030354053804721973	0.0029807923843060756	0.003113594005600751	0.002717617316003019
PF07992	0.0030362793136425635	0.003038497067030316	0.0029978048379920184	0.002975283964911027	0.003076325819125788	0.002864375721292597
PF00528	0.003028225970561861	0.0030163058321846224	0.002972379705022921	0.002990848610096193	0.003068534878780364	0.002839913419261362
PF00535	0.0027793937580669515	0.00272672430087031	0.0026921549883939183	0.0028239466986317396	0.0030150905881561304	0.0021085234052198223
PF00534	0.002777175679750688	0.0027722247132360876	0.0026587038308943708	0.002866620070351228	0.0030064205695508215	0.002315186679552585
PF07690	0.0029523112953968524	0.0029467515535078473	0.002937489325147109	0.0029888998004048042	0.00298616471374537	0.0029295122335977787
PF00571	0.002909069578817841	0.0029309336469122817	0.0028721189303177607	0.0028329810143298104	0.0029869374702831625	0.002448838205753829
PF00155	0.0028955716056696165	0.0029661688498920273	0.0028579454376947227	0.0028076893963062065	0.002973362590249855	0.002719799086804873
PF00583	0.0027925912150343853	0.0028060439343172336	0.0027316017322167345	0.0026981029805107836	0.0028732006869614927	0.0025644470220430975
PF00270	0.0026758548506604055	0.0026679682825081863	0.002671042709398953	0.002643669498976237	0.0027404150226652546	0.0025084093613899927
PF00501	0.002515158183555644	0.002529158128174051	0.0025066840844774328	0.002500625904388291	0.0025176851721052567	0.002681511944246378
PF00753	0.0026054736522451486	0.0026385325208378428	0.0025714248473710714	0.002536538907390881	0.0026607522134384307	0.0022823650569651624
PF04542	0.0024977988318510324	0.0024533614875220486	0.002513525270768725	0.0026330525799282464	0.0025599644467153657	0.002136494474163099
PF00486	0.0025811720860593667	0.002535681976691518	0.00257729065678347	0.0026197841238119464	0.0025220110124658367	0.0026061818431637337
PF00004	0.002481194131873697	0.002477539771794206	0.0024414342859121036	0.0023993777320268717	0.002583867166093119	0.0022291934644810773
PF13561	0.002395188908260923	0.0023713966081684665	0.002422053138210372	0.0025074579907029097	0.0023968622692911493	0.0025786601163956995
PF00440	0.0025137354556513613	0.0024832550854617446	0.002509767177435569	0.0024681880962368562	0.0024546680308798817	0.0025751297798266943
PF13193	0.0019940015329648893	0.001976001602635724	0.001987837955728052	0.002060658145015939	0.0019097637892970876	0.002480115132764711
PF13439	0.002247813792773825	0.0022065687300413836	0.002154964411977383	0.0024155073612663574	0.00245501303014076	0.001559058194836188
PF00009	0.0024120219932680376	0.00240634586811467	0.002399935801216104	0.002413625452972596	0.002454920960660233	0.002072593826167433
PF00293	0.0023515348449634674	0.002302504891514382	0.0023899143675485102	0.0024322010988874145	0.0022441203313072105	0.002447875582777345
PF00171	0.0021471854772404267	0.0021181061954253146	0.002173284793871228	0.00219431111266635	0.0020308984361417487	0.002447024890913604
PF00126	0.0018106982908778547	0.0018834658349725308	0.0018183311271011556	0.001560183763361497	0.0016518550358609857	0.0024266511943942816
PF03466	0.00180720238287628	0.0018786400915375189	0.0018085342181852699	0.0015578426522808734	0.0016377865531947225	0.0024260734357256174
PF02771	0.0017587639529943716	0.0017111531432858712	0.001812002541781308	0.001898917448703606	0.001570364329145652	0.002419799438790861
PF00106	0.002078426139579602	0.002033717530497983	0.002090602194784619	0.002268212112805303	0.0019618418600446563	0.0023879430583525533
PF01926	0.0022791544145074985	0.0023117244625236277	0.002278316207038322	0.0022062932055219686	0.0023437180358593847	0.002173707216701346
PF02770	0.001750247934911018	0.0017029518350640059	0.0018027207295466903	0.0018801319915993666	0.001557200293729265	0.0023419351341184783
PF01381	0.0021900926106592647	0.0021993614922255623	0.0021615903432963147	0.0021997485150018745	0.0023293502561202027	0.0021755396360948805
PF00672	0.0023170997605132604	0.0022992757542987757	0.0023204303298685162	0.0022963860952324917	0.0023286680488238377	0.0019489659506605756
