function	A4	A5	A6	A52	A53	A54
TIGR00231	0.010371113850758562	0.010344112176952063	0.01023097562412894	0.010421732503053747	0.010801585721169599	0.00889522606841677
TIGR02937	0.007976945029083802	0.007782754528473186	0.008013237987555941	0.008539671914925027	0.008200364177962006	0.006869991624154093
TIGR00229	0.006111114952030603	0.0064650781389719025	0.006232669045031389	0.005819842417079432	0.006771628384065983	0.004302504810578569
TIGR01494	0.0053206353662949854	0.0051221111703633505	0.005131720815085463	0.005542276210649983	0.005538149323094102	0.004059506932101114
TIGR00254	0.004749776753520487	0.004922879811511545	0.004930229166276712	0.004190941792409769	0.004652520793008345	0.004126687594312679
TIGR01930	0.0035091107922094215	0.0034161117979622764	0.0035399842400255814	0.0037824595164054815	0.003091395049954333	0.004835232092057311
TIGR01509	0.004191054277711319	0.004115411048835615	0.004173460695519957	0.004451494791219887	0.004085575928835791	0.0036845733488311697
TIGR00711	0.0029579269392688936	0.0030193565652664248	0.002851191970608526	0.003254186820752924	0.0028897923981940255	0.004057646850308154
TIGR01726	0.0024629486501480057	0.0028009246945640133	0.002267970215770619	0.0022023234343036616	0.002395482457554216	0.004032903369701845
TIGR01730	0.003174431269719717	0.0032954794405938214	0.0034005363703299386	0.002535375732690372	0.0030640276807862217	0.002257529351132896
TIGR02532	0.0026203308996903766	0.0024789168057280557	0.0029888593393851293	0.0021070061553554583	0.002254587016338154	0.0033026411147991245
TIGR00125	0.0031029867769126643	0.003176396104200708	0.0030810604737911773	0.003077311174667542	0.003249047460276955	0.003137109197883441
TIGR01525	0.0030312265495070264	0.0029070187482428448	0.002927339562328489	0.0031405889009485308	0.0030349912398942554	0.0026442067260712817
TIGR00177	0.002929570749957434	0.002918795570758611	0.002825417152831631	0.003010398114259621	0.0031116779256501995	0.002452437550126578
TIGR01727	0.00290571540398821	0.0030990956663812757	0.0028021027943151183	0.0030529799129024983	0.0029330471435645086	0.0029294466323925177
TIGR01549	0.002913270421312286	0.0029730104634936127	0.0029890570499235855	0.002951335502429439	0.002801769809857901	0.0026336948275195605
TIGR01764	0.002254580209537009	0.0019289060990987008	0.0021300644882749262	0.002898503577897158	0.0022903882780119303	0.0020312066774551994
TIGR01891	0.001777386229940923	0.0017484772689789008	0.0019789975988375405	0.0021795444786076937	0.001683604650434167	0.002778511160652508
TIGR00530	0.002646718058371803	0.0026040248604936667	0.002563493826223334	0.0026974346466141948	0.002528782107249483	0.002357910877072638
TIGR00277	0.0021907922100798984	0.002314843707492739	0.0021553501452930414	0.0025714500546788017	0.0026198499047649457	0.0014369041835041079
TIGR00797	0.002430812125544262	0.002447685648442496	0.0024202739712758507	0.0023594444595556115	0.002575883026086865	0.0015278407954797788
TIGR03083	0.0020331668703362886	0.001802192929894944	0.0018265273793544767	0.002538956991152478	0.0019285202779063388	0.0021631150175136066
TIGR01068	0.0022454900493258084	0.002196170975247353	0.0022011888497269518	0.0023508079626541564	0.002325257557130038	0.0019344051308495909
TIGR01484	0.001910300885402578	0.0018931734414230938	0.0018783637643185848	0.0020936238220144146	0.0020246582744320053	0.002345440719743401
TIGR00089	0.0022095401178558894	0.0022026068587022063	0.0021806432683035186	0.002304751663176118	0.0023298999413872436	0.0016016991729318076
TIGR01552	0.001500590724311504	0.0008941379306529392	0.0015431396012258436	0.002287217768227461	0.001472686035333711	0.0008077066127270585
TIGR00005	0.0020937268580513706	0.0021399114757931345	0.0021788671916762492	0.0019336944858186801	0.0019824977247110353	0.0022473662329199496
TIGR02946	0.0013296703292013153	0.000730616511624303	0.0013792317579635917	0.002242846176575152	0.0012756259443882409	0.0007371075191290504
TIGR01297	0.002175207018887232	0.0021877406887224927	0.0022000086698974043	0.002135476714144339	0.0022119921158054567	0.001980966225889233
TIGR00369	0.0018980432033366336	0.001928427341393665	0.0018299166633682455	0.001751189395780877	0.0017575565898002763	0.0022037180418108234
TIGR03026	0.0020014786492897124	0.001991490977886049	0.001957350368763471	0.002057051390680422	0.002054877741953448	0.0017572475226967632
TIGR00350	0.0014618280130828342	0.0013717841437223281	0.0014304454238611257	0.0020008375071723697	0.001455210991047984	0.0020483466026512877
TIGR00778	0.001892101909220547	0.001785724450150224	0.0019177656772641617	0.0019598843895066165	0.0019111331733198398	0.0017805529145146326
TIGR01511	0.0019006278740344544	0.0019183493093989275	0.0018785346525881871	0.0018733820014056775	0.001847720925743606	0.0019489919743641833
TIGR00093	0.0015331588753539592	0.0015125487253585662	0.0017373563317741496	0.0014242256270165046	0.0013514914634932887	0.0019323230106441274
