pathway	A4	A5	A6	A52	A53	A54
PWY-3781	0.013048709162609189	0.01236477272046933	0.013319021325636202	0.015184845043795412	0.013111861971150609	0.014585756075627341
PWY-7111	0.008902872423589767	0.008967460251413708	0.008590390157210762	0.008878863236408933	0.008906826869773994	0.009048789794754384
PWY-5101	0.008770816218614079	0.008779559797953015	0.008499045300298977	0.00891950837019956	0.00901587821508857	0.008125351899503511
VALSYN-PWY	0.00828531274091477	0.00826692395315341	0.008010366103347297	0.008441755608148544	0.008483124759333945	0.007744063421588008
ILEUSYN-PWY	0.00828531274091477	0.00826692395315341	0.008010366103347297	0.008441755608148544	0.008483124759333945	0.007744063421588008
PWY-5104	0.00725895672325073	0.007490043444007448	0.006833185470602581	0.007178388776135793	0.008202789580408874	0.0034309661356125183
BRANCHED-CHAIN-AA-SYN-PWY	0.007791098187130543	0.007733412343617194	0.007616135831796822	0.008051263964722595	0.008054744613460422	0.00692266388064111
PWY-5103	0.007059489848127959	0.007067193251759638	0.006916911218883686	0.007147708405992062	0.007300296640018023	0.006512882889940415
PWY-7208	0.006926029982334081	0.007016911228639526	0.0068523206650617004	0.007076646781537767	0.007251636843940199	0.006466557729728321
NONOXIPENT-PWY	0.006343064000101545	0.00620344653532195	0.0062926641436202935	0.007197437778623194	0.006541180830205454	0.005521097604703836
PWY-7219	0.006788628271143571	0.006856202465781928	0.006710140634600293	0.006813284940168911	0.007113455916517035	0.006149104158560108
PWY-3001	0.006690138410200564	0.006765878335927793	0.006569742191091451	0.006715306948397094	0.007038144650449737	0.005948225277313545
P42-PWY	0.00643910161269365	0.006598312789025579	0.006356061305952581	0.006657429669101372	0.007023143503777265	0.0049561998357542545
SER-GLYSYN-PWY	0.006707717243458813	0.006830371883469497	0.006524345830149064	0.006739732639262681	0.00700815717583951	0.006871640159150132
PWY-5695	0.005821036690610278	0.005513607005111541	0.005681402718408661	0.006973557055858434	0.006169783761919208	0.005912193660765529
PWY-7229	0.006677151094700558	0.006691983708304217	0.006661799057476163	0.006811536360447172	0.0069259497000690035	0.006347984762354972
PWY-2942	0.006578496336147918	0.006627282271904403	0.006490667682872106	0.006702487178624462	0.0068720882353093165	0.006502707732465544
PWY-5686	0.006553093075288641	0.006642891754429767	0.006495877431293437	0.006514600166720833	0.0068342837398708755	0.006015344878957834
PWY-7094	0.005431355693676951	0.0053434537995116285	0.005736353516550766	0.005203752120647889	0.0046071496011561176	0.0067806894085428665
TCA	0.006173912746486474	0.006135238913703293	0.006156212912397427	0.0064177849001468175	0.00608616243896521	0.006766681383125364
CALVIN-PWY	0.006406112172690061	0.006480616897555818	0.0062585349477819845	0.006500801879069455	0.006741932929651814	0.00567097205683151
PWY-6277	0.006413767379810219	0.0064410336547096525	0.0063084806957167915	0.006275966103935205	0.00673026638868551	0.005923863873354821
PWY-6122	0.006413767379810219	0.0064410336547096525	0.0063084806957167915	0.006275966103935205	0.00673026638868551	0.005923863873354821
THRESYN-PWY	0.006293406013151435	0.006403325973651695	0.006180072775525708	0.006127004686203868	0.006688618733290403	0.005384929877298126
PWY-6121	0.006444535078607652	0.006480676941707314	0.006382361960041094	0.006219082530599807	0.006666987170685612	0.005886361018955507
PWY0-162	0.006323680368101066	0.006411132005195453	0.006270787709684118	0.006343050401355788	0.006585467586761935	0.005995829114684561
ANAGLYCOLYSIS-PWY	0.0060403437818464705	0.005945264625262399	0.006032506722890879	0.006572754332882962	0.006402808511747509	0.005181993143028801
PWY-6969	0.006315415651465557	0.0062709806302189905	0.006271913053823623	0.006572344131824248	0.0062745335424877965	0.006399335974455212
PWY-6126	0.006340915410461179	0.006359409859429268	0.006324363190761224	0.006484818841935955	0.006571371960752741	0.006102997787850024
FAO-PWY	0.004703270004195472	0.004762859203736124	0.005058658832710399	0.00460911452416696	0.004031325240815573	0.006551130614009656
PWY-5097	0.006214199944278488	0.006259636371476338	0.006150496694478107	0.0063048286342480735	0.006497723239602299	0.006116653831199343
PHOSLIPSYN-PWY	0.006307909736696449	0.00642297935067379	0.006243954536603935	0.006250348832052519	0.006330986951974231	0.005908893965012005
PWY-7228	0.006225913131804161	0.006264553156481398	0.006201140141950479	0.006419075626011923	0.006376675144413889	0.00607071025284406
PWY-841	0.006190916760504597	0.006256769305483754	0.0061397889997460596	0.006151614830100648	0.006405977232210379	0.005832871309642727
REDCITCYC	0.006252933591057367	0.006405060188220137	0.006346326957391153	0.0061645277401308944	0.005726479149412136	0.006131171600501945
