function	description	A4	A5	A6	A52	A53	A54
COG0001	Glutamate-1-semialdehyde aminotransferase	40517.95	38777.37999999998	42077.63	43718.13	39327.70999999999	49646.61
COG0002	N-acetyl-gamma-glutamylphosphate reductase	34921.51	35216.639999999985	35214.429999999986	34818.679999999986	34059.86999999999	35987.28
COG0003	Anion-transporting ATPase, ArsA/GET3 family	38316.74	29385.88	38236.3	52958.43	35272.34	20096.57
COG0004	Ammonia channel protein AmtB	45172.85000000001	43666.86	45379.97	46910.97	42648.23	54414.20999999999
COG0005	Purine nucleoside phosphorylase	40895.42	41079.74	38866.97	43513.02	42716.39	31523.28
COG0006	Xaa-Pro aminopeptidase	66417.42000000001	68721.02999999997	67209.06	70324.37999999999	66771.37	78381.80000000003
COG0007	Uroporphyrinogen-III methylase (siroheme synthase)	45589.29000000001	47921.06	42548.460000000014	42906.17	42317.41	45586.63
COG0008	Glutamyl- or glutaminyl-tRNA synthetase	56564.8	57706.89999999999	56999.5	53175.42000000001	55815.02999999998	54979.37
COG0009	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	49255.27	50927.28999999999	49502.23000000001	48935.7	46715.29999999998	52134.23999999999
COG0010	Arginase family enzyme	32753.64	36560.98	34096.23	33636.97	33343.789999999986	59068.22
COG0011	Uncharacterized conserved protein YqgV, UPF0045/DUF77 family	12923.31	14234.02	11438.169999999998	12427.98	13387.21	17561.55
COG0012	Ribosome-binding ATPase YchF, GTP1/OBG family	36896.45	37111.50999999999	37180.13000000001	37667.8	36591.02	39036.87999999998
COG0013	Alanyl-tRNA synthetase	36672.95	37018.50999999999	36969.63000000001	37522.3	36413.02	39711.37999999998
COG0014	Gamma-glutamyl phosphate reductase	28710.03	28330.409999999996	29151.800000000007	27818.49	26696.06999999999	33969.259999999995
COG0015	Adenylosuccinate lyase	39298.78000000001	40181.29999999999	39589.63	39263.64	38427.78000000001	50704.81
COG0016	Phenylalanyl-tRNA synthetase alpha subunit	36907.45	37111.50999999999	37185.13000000001	37674.8	36606.02	39036.87999999998
