function	description	A4	A5	A6	A52	A53	A54
EC:1.1.1.1	Alcohol dehydrogenase	78009.47999999997	76016.87000000001	78082.75000000001	84223.07999999997	68768.04	98441.88
EC:1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	129228.05000000002	130138.31999999998	133757.66999999998	145380.7	120357.42	172835.9
EC:1.1.1.102	3-dehydrosphinganine reductase	3.0	0.0	0.0	0.0	1.0	4.0
EC:1.1.1.103	L-threonine 3-dehydrogenase	7069.83	7200.92	7318.26	6188.39	6261.98	16936.65
EC:1.1.1.105	All-trans-retinol dehydrogenase (NAD(+))	3.0	0.0	0.0	5.0	10.0	105.0
EC:1.1.1.107	Pyridoxal 4-dehydrogenase	9.0	4.5	2.0	3.0	6.5	0.5
EC:1.1.1.108	Carnitine 3-dehydrogenase	1079.0	1203.5	801.0	941.5	1080.5	2314.06
EC:1.1.1.11	D-arabinitol 4-dehydrogenase	111.0	58.67	94.67	33.57	64.67	3.0
EC:1.1.1.122	D-threo-aldose 1-dehydrogenase	1229.5	1436.9	1167.17	963.25	1198.92	2401.42
EC:1.1.1.125	2-deoxy-D-gluconate 3-dehydrogenase	2350.02	2902.62	3479.14	1882.85	2002.18	7549.160000000002
EC:1.1.1.130	3-dehydro-L-gulonate 2-dehydrogenase	12.0	4.8	12.1	9.57	5.2	49.67
EC:1.1.1.132	GDP-mannose 6-dehydrogenase	609.5	547.0	447.5	527.0	620.0	333.0
EC:1.1.1.133	dTDP-4-dehydrorhamnose reductase	29775.95	29310.719999999994	29620.81	30491.15	30312.72999999999	17229.79
EC:1.1.1.136	UDP-N-acetylglucosamine 6-dehydrogenase	4602.07	2389.38	5134.469999999998	9287.35	4629.9	2994.67
EC:1.1.1.137	Ribitol-5-phosphate 2-dehydrogenase	328.0	379.0	268.0	533.67	380.67	214.38
EC:1.1.1.14	L-iditol 2-dehydrogenase	14532.26	15620.27	13364.68	12767.07	14394.55	12494.72
EC:1.1.1.140	Sorbitol-6-phosphate 2-dehydrogenase	380.58	201.67	257.93	141.07	180.45	590.3000000000002
EC:1.1.1.145	3-beta-hydroxy-Delta(5)-steroid dehydrogenase	1073.0	1233.5	913.5	1242.0	1139.0	972.0
EC:1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase	32142.8	34131.24	33392.35	36297.19	30481.14	61547.2
EC:1.1.1.159	7-alpha-hydroxysteroid dehydrogenase	6311.02	4187.87	6338.969999999998	9082.3	5853.93	4526.21
EC:1.1.1.163	Cyclopentanol dehydrogenase	0.0	0.0	0.0	0.0	1.0	0.0
EC:1.1.1.169	2-dehydropantoate 2-reductase	21823.92	23865.77	22103.83	18094.3	23027.2	22732.49
EC:1.1.1.17	Mannitol-1-phosphate 5-dehydrogenase	1088.25	1207.75	1076.1	2299.9700000000007	1442.98	8995.84
EC:1.1.1.170	(decarboxylating)	0.0	0.0	2.0	0.0	0.0	0.0
EC:1.1.1.173	L-rhamnose 1-dehydrogenase	5.0	2.0	6.0	0.0	2.0	44.0
EC:1.1.1.18	Inositol 2-dehydrogenase	13152.78	13873.839999999998	10312.72	11089.6	11524.11	18768.39
EC:1.1.1.193	5-amino-6-(5-phosphoribosylamino)uracil reductase	32707.950000000004	32829.869999999995	33045.630000000005	33046.06	31710.839999999997	38654.84
EC:1.1.1.2	Alcohol dehydrogenase (NADP(+))	44.0	21.0	13.5	7.0	9.0	3.5
EC:1.1.1.202	1,3-propanediol dehydrogenase	107.96	112.83	100.31	330.0900000000001	116.37	318.71
EC:1.1.1.203	Uronate dehydrogenase	685.16	604.49	496.67	485.83	611.5	531.4200000000002
EC:1.1.1.205	IMP dehydrogenase	52639.2	52084.89	51247.29000000001	58629.14	50993.33999999999	55277.89
EC:1.1.1.206	Tropinone reductase I	823.5	211.0	2104.5	109.5	326.0	1296.0
EC:1.1.1.21	Aldehyde reductase	0.0	0.0	0.0	0.0	3.0	0.0
EC:1.1.1.215	Gluconate 2-dehydrogenase	4477.66	4381.88	6093.1	2053.07	1740.0400000000004	3185.69
EC:1.1.1.219	Dihydrokaempferol 4-reductase	8236.49	6123.46	8027.67	14123.66	7024.16	4875.83
EC:1.1.1.22	UDP-glucose 6-dehydrogenase	37309.59000000001	36688.6	36255.54	38668.429999999986	37202.26	42710.67
EC:1.1.1.23	Histidinol dehydrogenase	35239.01	35648.469999999994	35683.759999999995	35286.179999999986	34438.369999999995	38670.59
EC:1.1.1.243	Carveol dehydrogenase	35.0	27.0	33.0	44.0	51.0	21.0
EC:1.1.1.25	Shikimate dehydrogenase	43737.36	44542.09	42349.3	42946.15	42173.849999999984	63537.23
EC:1.1.1.251	Galactitol-1-phosphate 5-dehydrogenase	2.33	1.67	1.53	0.57	0.4	34.33
EC:1.1.1.26	Glyoxylate reductase	4279.83	4624.34	4256.05	5847.4	4197.690000000001	14133.6
EC:1.1.1.261	sn-glycerol-1-phosphate dehydrogenase	5352.83	5569.01	4964.17	3636.14	6245.44	3915.12
EC:1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase	16175.32	17559.62	16953.1	11647.07	15170.12	23491.86
EC:1.1.1.264	L-idonate 5-dehydrogenase (NAD(P)(+))	371.5	443.57	328.0	557.5	496.0	7191.09
EC:1.1.1.267	1-deoxy-D-xylulose-5-phosphate reductoisomerase	31791.78	31643.339999999997	32423.13	32707.89	30966.349999999984	35627.25
EC:1.1.1.27	L-lactate dehydrogenase	7404.2	7316.620000000001	6736.48	7986.95	7340.42	4156.39
EC:1.1.1.271	GDP-L-fucose synthase	11249.16	9895.99	11008.5	14376.57	12688.33	5067.509999999998
EC:1.1.1.275	(+)-trans-carveol dehydrogenase	3735.0	1577.5	4151.5	7267.0	3546.0	1620.0
EC:1.1.1.276	Serine 3-dehydrogenase (NADP(+))	811.5	207.0	2093.0	106.5	278.0	1199.0
EC:1.1.1.28	D-lactate dehydrogenase	4866.01	4331.38	6718.23	4000.27	2935.3	11993.429999999997
EC:1.1.1.281	GDP-4-dehydro-6-deoxy-D-mannose reductase	3407.49	955.66	3902.5	6576.66	2942.66	1193.5
EC:1.1.1.282	Quinate/shikimate dehydrogenase	2.33	1.67	1.4300000000000002	0.0	0.2	39.0
EC:1.1.1.284	S-(hydroxymethyl)glutathione dehydrogenase	30664.5	25880.73	33417.94	38288.22	25781.399999999994	36213.51999999998
EC:1.1.1.287	D-arabinitol dehydrogenase (NADP(+))	4.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.29	Glycerate dehydrogenase	3988.83	4131.43	3980.17	4585.33	3144.25	9370.54
EC:1.1.1.290	4-phosphoerythronate dehydrogenase	3912.66	4100.3	3980.93	3703.57	2842.62	8425.19
EC:1.1.1.292	1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming)	269.0	219.33	187.0	116.67	127.5	235.92
EC:1.1.1.298	3-hydroxypropionate dehydrogenase (NADP(+))	28.0	25.0	13.0	27.0	21.0	50.0
EC:1.1.1.3	Homoserine dehydrogenase	40844.34	40916.749999999985	42235.35000000001	41410.18	40038.37999999998	44028.08
EC:1.1.1.30	3-hydroxybutyrate dehydrogenase	9795.67	11137.31	10935.72	8879.85	8073.59	25468.21
EC:1.1.1.301	D-arabitol-phosphate dehydrogenase	0.0	0.0	0.0	0.0	0.0	78.42
EC:1.1.1.302	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase	8098.0	8906.84	7662.84	5439.66	9651.84	4646.0
EC:1.1.1.303	Diacetyl reductase ((R)-acetoin forming)	4899.84	5553.12	5004.38	4000.84	4820.33	6564.09
EC:1.1.1.304	Diacetyl reductase ((S)-acetoin forming)	4350.5	1973.62	4770.33	7603.67	3942.25	4480.82
EC:1.1.1.305	UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating)	208.33	224.67	307.26	28.67	12.87	44.86
EC:1.1.1.306	S-(hydroxymethyl)mycothiol dehydrogenase	8878.75	7282.65	8229.0	12083.75	8062.41	12333.34
EC:1.1.1.307	D-xylose reductase	0.0	0.0	0.0	0.0	1.0	0.0
EC:1.1.1.308	Sulfopropanediol 3-dehydrogenase	1901.83	2174.16	1595.0	2165.33	2095.33	1733.06
EC:1.1.1.309	Phosphonoacetaldehyde reductase (NADH)	2.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.31	3-hydroxyisobutyrate dehydrogenase	28737.25	28718.34	28450.74	28864.06	24765.67	52692.03
EC:1.1.1.310	(S)-sulfolactate dehydrogenase	504.66	390.0	356.84	261.33000000000004	427.67	256.0
EC:1.1.1.312	2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase	1064.0	1583.25	1486.0	175.0	440.0	407.5
EC:1.1.1.313	Sulfoacetaldehyde reductase	0.0	0.0	5.0	10.0	0.0	14.0
EC:1.1.1.316	L-galactose 1-dehydrogenase	0.0	0.0	0.0	4.0	0.0	0.0
EC:1.1.1.320	Benzil reductase ((S)-benzoin forming)	32.0	35.18	34.0	305.73	99.36	2445.51
