function	description	A4	A5	A6	A52	A53	A54
K00001	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	18678.91	20230.08	17066.17	17582.16	14953.42	27708.81
K00002	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	44.0	21.0	13.5	7.0	9.0	3.5
K00003	E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]	34623.68	34568.41	34485.829999999994	35965.700000000004	33928.639999999985	39926.359999999986
K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	4899.84	5553.12	5004.38	4000.84	4820.33	6564.09
K00005	gldA; glycerol dehydrogenase [EC:1.1.1.6]	1573.02	1455.44	1467.63	1873.34	1338.3	854.6100000000001
K00006	GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]	0.0	0.0	2.0	3.0	0.0	28.0
K00007	dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	111.0	58.67	94.67	33.57	64.67	3.0
K00008	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	14532.26	15620.27	13364.68	12767.07	14394.55	12494.72
K00009	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	1088.25	1207.75	1076.1	2299.9700000000007	1442.98	8995.84
K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	13152.78	13873.839999999998	10312.72	11089.6	11524.11	18768.39
K00011	AKR1B; aldehyde reductase [EC:1.1.1.21]	0.0	0.0	0.0	0.0	3.0	0.0
K00012	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	37309.59000000001	36688.6	36255.54	38668.429999999986	37202.26	42710.67
K00013	hisD; histidinol dehydrogenase [EC:1.1.1.23]	35203.01	35592.469999999994	35643.759999999995	35266.179999999986	34426.369999999995	38670.59
K00014	aroE; shikimate dehydrogenase [EC:1.1.1.25]	43646.37	44483.76	42291.3	42889.32	42120.52	63497.23
K00015	gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]	4279.83	4624.34	4256.05	5847.4	4197.690000000001	14133.6
K00016	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	7404.2	7316.620000000001	6736.48	7986.95	7340.42	4156.39
K00018	hprA; glycerate dehydrogenase [EC:1.1.1.29]	3988.83	4131.43	3980.17	4585.33	3144.25	9370.54
K00019	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	9795.67	11137.31	10935.72	8879.85	8073.59	25468.21
K00020	mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	28737.25	28718.34	28450.74	28864.06	24765.67	52692.03
K00021	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	325.5	302.17	287.17	774.33	551.67	281.0
K00023	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]	5694.5	5326.25	8024.67	2746.0	3854.17	6194.0
K00024	mdh; malate dehydrogenase [EC:1.1.1.37]	26077.840000000004	25459.209999999995	26928.95	26755.99	24045.799999999992	27821.8
K00027	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	28710.34	28681.339999999986	28097.89	32102.290000000005	27197.41	32807.06
K00029	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	16362.16	17898.62	16693.1	10628.08	14142.62	16659.7
K00030	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	5397.57	4788.66	6329.0	3142.41	5324.91	3792.0
K00031	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	29176.07	29333.88	29986.15	29455.39	26052.31999999999	47102.34
K00032	E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43]	4.0	10.0	24.0	0.0	0.0	25.0
K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	21560.74	20425.74	20795.26	23565.119999999995	21522.579999999994	24418.51
K00034	gdh; glucose 1-dehydrogenase [EC:1.1.1.47]	3443.5	3771.0	2780.05	2867.74	2598.7000000000007	1786.9600000000007
K00035	gal; D-galactose 1-dehydrogenase [EC:1.1.1.48]	702.5	795.33	552.5	513.1700000000002	776.5	569.9200000000002
K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	25291.24	24435.05	23448.6	26305.74	23817.79	23877.83
K00038	E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]	6228.5	4526.5	6968.67	10121.5	5891.17	11301.9
K00039	rbtD; ribitol 2-dehydrogenase [EC:1.1.1.56]	519.0	548.33	442.0	263.24	326.0	242.17
K00040	uxuB; fructuronate reductase [EC:1.1.1.57]	1144.83	1355.37	1144.43	1700.31	1311.7	994.0600000000003
K00041	uxaB; tagaturonate reductase [EC:1.1.1.58]	1580.83	1854.64	1687.6	1757.07	2103.87	1858.78
K00042	garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	4682.52	5650.969999999998	4597.96	5332.280000000002	4471.71	21551.24
K00043	gbd; 4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]	17.0	16.0	7.0	5.0	14.0	0.0
K00045	E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]	5721.0	6282.57	4438.5	5099.0	4974.0	7826.75
K00046	idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]	5979.33	7208.37	6230.84	6113.82	5716.42	14719.74
K00048	fucO; lactaldehyde reductase [EC:1.1.1.77]	39.52	33.09	32.97	10.03	12.43	124.25
K00050	ttuD; hydroxypyruvate reductase [EC:1.1.1.81]	4945.83	5661.08	4571.67	5291.17	5041.17	3151.92
