function	description	A4	A5	A6	A52	A53	A54
PF00002	7 transmembrane receptor (Secretin family)	5.0	8.0	7.0	10.0	5.0	0.0
PF00004	ATPase family associated with various cellular activities (AAA)	273123.07	272410.38	273910.6900000001	274003.92999999993	271943.24000000005	289376.03
PF00005	ABC transporter	369074.5	371115.1000000001	371851.3	376748.0	366060.20000000007	390368.8
PF00006	ATP synthase alpha/beta family, nucleotide-binding domain	129274.31	131298.60999999993	131144.82999999993	132526.88	128793.56	131049.28
PF00009	Elongation factor Tu GTP binding domain	265508.79000000004	264582.46999999986	269254.87	275630.99	258372.09000000003	269047.52
PF00011	Hsp20/alpha crystallin family	54317.32	53758.56999999999	51770.32	59742.96	58723.65	41164.39
PF00012	Hsp70 protein	54308.67999999999	56516.66	56230.74	54764.97	49621.19	59449.55999999999
PF00013	KH domain	55769.66	57688.99	55830.66	56444.86	58817.24999999999	53454.98
PF00014	Kunitz/Bovine pancreatic trypsin inhibitor domain	0.0	0.0	1.0	2.0	0.0	0.0
PF00015	Methyl-accepting chemotaxis protein (MCP) signalling domain	82519.7	90418.36999999998	100521.5	57056.35	75722.33999999997	87271.52
PF00016	Ribulose bisphosphate carboxylase large chain, catalytic domain	5882.5	6520.02	5292.84	6010.23	6728.87	14415.87
PF00022	Actin	0.0	0.0	0.0	0.0	0.0	32.0
PF00023	Ankyrin repeat	4328.5	3915.5	5089.0	3050.0	3180.5	1633.0
PF00024	PAN domain	1024.0	1258.0	839.0	870.0	986.5	1107.25
PF00025	ADP-ribosylation factor family	32.5	26.5	23.0	48.0	13.33	66.5
PF00027	Cyclic nucleotide-binding domain	140853.71	143028.38999999998	139873.25000000006	144756.73	140048.04	103692.61
PF00028	Cadherin domain	1021.33	1207.5	940.0	1133.5	1364.0	121.0
PF00030	Beta/Gamma crystallin	58.0	85.0	89.17	40.0	63.67	126.5
PF00031	Cystatin domain	7.0	0.0	6.0	0.0	0.0	0.0
PF00032	Cytochrome b(C-terminal)/b6/petD	8777.33	7007.42	11249.22	11373.47	7138.780000000002	18326.44
PF00033	Cytochrome b/b6/petB	8985.0	7211.59	11416.72	11470.14	7360.450000000002	18303.44
PF00034	Cytochrome c	51130.52	50202.71	56713.52	46410.88000000001	45789.87	56157.32999999999
PF00035	Double-stranded RNA binding motif	32871.450000000004	32658.009999999984	33347.130000000005	34927.3	31766.019999999986	36645.88
PF00036	EF hand	51.0	27.0	30.0	13.0	27.0	0.0
PF00037	4Fe-4S binding domain	149657.69999999998	154216.90999999995	142333.28	139905.32	161989.9	85594.47
PF00041	Fibronectin type III domain	14896.64	16076.73	13700.52	15519.24	13591.58	19320.45
PF00042	Globin	7610.019999999998	9133.830000000002	8650.689999999999	8190.6	5616.790000000001	24918.98
PF00043	Glutathione S-transferase, C-terminal domain	32512.97	32267.04	39114.85	19257.86	19783.94	47354.21000000001
PF00044	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	41653.06	42215.39	41830.669999999984	42265.1	39731.099999999984	65727.83
PF00045	Hemopexin	18.0	11.5	10.5	30.0	9.0	75.5
PF00050	Kazal-type serine protease inhibitor domain	176.5	183.5	132.0	96.0	153.66	66.25
PF00056	lactate/malate dehydrogenase, NAD binding domain	34193.26000000002	33292.99	34531.77	36435.2	32266.13999999999	32029.69
PF00057	Low-density lipoprotein receptor domain class A	2.0	0.0	4.0	3.0	0.0	0.0
PF00059	Lectin C-type domain	80.0	11.0	166.0	13.0	111.66	0.0
PF00060	Ligand-gated ion channel	101.0	80.0	66.0	120.0	117.0	42.25
PF00067	Cytochrome P450	76450.90000000001	59538.21000000001	78414.5	112995.39	72199.95999999999	57982.78
PF00068	Phospholipase A2	0.0	0.0	0.0	6.0	0.0	0.0
PF00069	Protein kinase domain	108737.6	106347.24	101784.35	121554.83	101653.16	125031.91
PF00070	Pyridine nucleotide-disulphide oxidoreductase	0.0	0.0	0.0	0.0	0.0	4.0
PF00071	Ras family	74.5	68.62	40.5	267.0	149.0	2431.5
PF00072	Response regulator receiver domain	353067.5	353723.1000000001	357003.3	367883.0	348334.2000000001	381497.8
PF00075	RNase H	29848.53000000001	29092.209999999995	29508.910000000003	29977.900000000005	28355.899999999994	35310.82
PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	13408.33	16179.69	15369.14	8540.08	9920.21	4102.83
PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	13073.48	14904.010000000002	14120.57	13097.15	14100.05	14351.070000000003
PF00079	Serpin (serine protease inhibitor)	1484.0	1742.67	1464.67	2407.33	2174.82	1857.67
PF00080	Copper/zinc superoxide dismutase (SODC)	11590.16	11784.430000000002	14465.32	9418.24	7429.7	16280.34
PF00081	Iron/manganese superoxide dismutases, alpha-hairpin domain	29352.19	30468.38	32067.06	26161.88	28143.64	44110.98999999999
PF00082	Subtilase family	94622.99	100390.09	95054.74000000002	87619.58000000003	95984.46	109307.55
PF00083	Sugar (and other) transporter	52749.85	57741.54	52035.19000000001	49636.37	47943.99999999999	138209.13
PF00085	Thioredoxin	113966.88000000002	116812.4	120496.34	117934.46	110181.25	139916.54
PF00089	Trypsin	3197.83	2841.49	2712.6	3309.07	2938.81	9771.2
PF00091	Tubulin/FtsZ family, GTPase domain	46307.29	47619.35	46078.47000000001	46104.63	48057.03	44112.87999999999
PF00092	von Willebrand factor type A domain	61520.7	63686.48000000001	60352.16000000003	61828.79	62204.78	44022.94
PF00094	von Willebrand factor type D domain	0.0	1.0	5.5	0.0	0.0	39.0
PF00096	Zinc finger, C2H2 type	0.5	0.0	0.0	0.0	2.5	0.0
PF00101	Ribulose bisphosphate carboxylase, small chain	895.0	942.17	638.17	1092.5	861.17	1949.5
PF00102	Protein-tyrosine phosphatase	150.0	170.0	165.0	338.75	77.25	2502.0
PF00106	short chain dehydrogenase	228787.47	223611.25	234549.95	259025.08999999997	206477.19	309983.62999999995
PF00107	Zinc-binding dehydrogenase	201646.3	194385.66	205352.9	222063.71	182519.55	269188.68
PF00108	Thiolase, N-terminal domain	142828.87	134356.37	147779.88999999998	166082.89999999994	122602.15	213573.88
PF00109	Beta-ketoacyl synthase, N-terminal domain	72080.73	69486.94999999997	73515.06999999999	75762.75	68952.99999999999	88612.58999999998
PF00111	2Fe-2S iron-sulfur cluster binding domain	114255.1	122000.44	108094.97	108880.73	105148.05	147624.44999999998
PF00112	Papain family cysteine protease	15441.17	16974.59	14692.68	10868.32	18246.84	7428.5
PF00113	Enolase, C-terminal TIM barrel domain	39798.78	37750.639999999985	40591.13000000001	44126.2	39308.849999999984	39913.09
PF00114	Pilin (bacterial filament)	6099.33	5250.34	9237.01	3363.9	2441.51	15425.0
PF00115	Cytochrome C and Quinol oxidase polypeptide I	45326.74000000001	45533.7	49626.09999999999	47966.72	40076.52	66963.59000000001
PF00116	Cytochrome C oxidase subunit II, periplasmic domain	25538.41	26121.95	26770.71	26796.63	23340.85	36253.16
PF00117	Glutamine amidotransferase class-I	212125.67	211864.37999999995	215175.74000000005	213504.67	205749.52	228527.57000000004
PF00118	TCP-1/cpn60 chaperonin family	61653.72	61688.17	59974.28	61001.46	62450.84	60387.05
PF00119	ATP synthase A chain	32359.78	32092.669999999995	32925.3	34119.31	31329.849999999995	36970.63
PF00120	Glutamine synthetase, catalytic domain	88174.34000000003	85948.17	85398.66999999997	95635.48000000004	86727.95999999999	82130.09999999999
PF00121	Triosephosphate isomerase	37717.45	38059.40999999999	37857.63000000001	38532.97	37458.52	39668.01
PF00122	E1-E2 ATPase	180897.45	175010.73999999993	178695.95	191859.55000000005	177612.52000000005	164722.36000000004
PF00124	Photosynthetic reaction centre protein	399.5	475.5	273.0	242.0	343.0	210.0
PF00126	Bacterial regulatory helix-turn-helix protein, lysR family	199316.72	207090.7800000001	204003.17	178169.73	173852.13000000006	315008.41
PF00127	Copper binding proteins, plastocyanin/azurin family	15922.99	9857.99	19512.84	22373.4	12630.0	11893.15
PF00128	Alpha amylase, catalytic domain	136383.96999999994	143890.05	123865.51000000002	142868.49999999994	138136.06	123958.12
PF00132	Bacterial transferase hexapeptide (six repeats)	231618.38	238699.09	232181.61	226749.91	224014.58	239719.96
PF00133	tRNA synthetases class I (I, L, M and V)	104952.37	107255.25	106766.23	104452.47000000002	105251.94999999997	116660.35
PF00135	Carboxylesterase family	18703.0	18262.83	19130.67	21957.32	19248.25	19699.7
PF00136	DNA polymerase family B	8358.33	9175.84	8024.93	5556.57	9716.37	4776.86
PF00137	ATP synthase subunit C	43073.63000000001	43884.029999999984	43138.98	43926.53	43726.75	39989.62999999998
PF00139	Legume lectin domain	34.0	16.0	13.0	6.0	13.0	10.0
PF00140	Sigma-70 factor, region 1.2	61300.75000000001	54894.33999999999	63421.06000000001	72937.45000000001	57856.53999999999	58259.85999999999
PF00141	Peroxidase	12606.08	13922.37	11324.1	11645.4	11732.45	21149.09
PF00142	4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family	5360.950000000002	5957.35	4994.6500000000015	4470.759999999998	6213.16	2691.5
PF00144	Beta-lactamase	110181.10000000002	97814.46999999996	119008.69	135253.2	107232.98	129891.9
PF00145	C-5 cytosine-specific DNA methylase	22907.4	22201.85	21610.32	21788.33	22317.77	29384.91
PF00146	NADH dehydrogenase	37337.17000000001	34618.71	36972.26	41814.57	35349.75	30007.140000000007
PF00147	Fibrinogen beta and gamma chains, C-terminal globular domain	10.0	0.0	10.0	15.0	0.0	1.0
PF00148	Nitrogenase component 1 type Oxidoreductase	7861.299999999998	8711.7	7281.9000000000015	8262.89	9352.29	3585.0
PF00149	Calcineurin-like phosphoesterase	198163.88	208144.77	200356.62	198750.51	195621.42	254318.91000000003
PF00150	Cellulase (glycosyl hydrolase family 5)	20701.49	12614.12	23826.02	37294.96	21954.19	12297.160000000002
PF00152	tRNA synthetases class II (D, K and N) 	88907.79000000002	88944.34	92157.45	90608.6	87229.42999999996	100773.36
PF00153	Mitochondrial carrier protein	3.0	0.0	0.0	0.0	0.0	0.0
