function	description	A4	A5	A6	A52	A53	A54
TIGR00001	ribosomal protein bL35	32681.450000000004	32483.339999999997	33204.960000000014	34619.97	31582.349999999984	36696.38
TIGR00002	ribosomal protein bS16	32813.450000000004	32629.339999999997	33324.960000000014	34898.97	31733.349999999984	36715.38
TIGR00003	copper ion binding protein	23230.250000000004	24911.54	24193.32	17617.58	21360.84	27649.5
TIGR00004	reactive intermediate/imine deaminase	26449.94	22171.49	28915.19	33539.93	25826.269999999997	28626.1
TIGR00005	pseudouridine synthase, RluA family	74071.48000000001	76298.06999999999	78796.51	69372.55999999997	66729.73999999999	93624.06
TIGR00006	16S rRNA (cytosine(1402)-N(4))-methyltransferase	32843.11	32642.669999999995	33352.960000000014	34907.3	31754.679999999997	36772.38000000001
TIGR00007	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	30729.840000000004	32971.169999999984	29814.43	28674.01	30326.369999999995	36478.67
TIGR00008	translation initiation factor IF-1	34722.45	35656.25999999999	36147.13000000001	35139.97	32337.019999999997	37323.38
TIGR00009	ribosomal protein bL28	34399.45	34588.84	34555.960000000014	35943.97	33318.349999999984	38659.05
TIGR00010	hydrolase, TatD family	42025.53	41631.48	44018.04	40229.029999999984	38407.75999999999	50767.26999999999
TIGR00011	Cys-tRNA(Pro) deacylase	26284.42	25805.579999999994	26945.160000000003	31241.7	22159.27999999999	37779.959999999985
TIGR00012	ribosomal protein uL29	36906.45	37111.50999999999	37185.13000000001	37673.8	36606.02	39036.87999999998
TIGR00013	4-oxalocrotonate tautomerase family enzyme	3773.7	4403.16	4161.35	4852.67	3657.1	9057.94
TIGR00014	arsenate reductase (glutaredoxin)	12743.07	13771.76	13871.03	10249.24	10014.66	17665.56
TIGR00016	acetate kinase	26665.8	28881.8	24417.55	24418.23	25865.11999999999	22668.18
TIGR00017	cytidylate kinase	32670.450000000004	32501.339999999997	33206.960000000014	34645.97	31586.849999999984	36702.38
TIGR00018	pantoate--beta-alanine ligase	30271.590000000004	30293.549999999992	30884.59	30930.6	28930.949999999993	35507.63
TIGR00019	peptide chain release factor 1	32821.450000000004	32629.339999999997	33327.960000000014	34904.97	31748.349999999984	36715.38
TIGR00020	peptide chain release factor 2	32818.950000000004	32626.339999999997	33327.960000000014	34904.97	31746.849999999984	36712.88
TIGR00021	ribose 5-phosphate isomerase A	12270.82	12617.88	12982.77	9100.82	10210.13	16662.989999999998
TIGR00022	YhcH/YjgK/YiaL family protein	2651.67	2863.52	2598.4700000000007	3509.45	3048.82	931.1
TIGR00023	acyl-phosphate glycerol 3-phosphate acyltransferase	21762.620000000006	24173.21	21506.99	21590.14	21471.249999999996	24034.75
TIGR00024	putative phosphoesterase	3832.83	4245.83	3627.5	2136.83	4386.83	2378.5
TIGR00025	ABC transporter efflux protein, DrrB family	47142.67	41355.88	43845.0	58902.82	43745.27	51433.75
TIGR00026	deazaflavin-dependent oxidoreductase, nitroreductase family	44355.0	41500.49000000001	40440.0	55561.25	41125.91	30138.01
TIGR00027	methyltransferase, TIGR00027 family	9864.0	11431.84	8526.18	11744.75	10608.58	11809.67
TIGR00028	toxin-antitoxin system PIN domain toxin	1005.5	954.0	823.0	802.0	951.5	1013.5
TIGR00029	ribosomal protein bS20	32818.450000000004	32631.339999999997	33331.960000000014	34912.399999999994	31748.349999999984	36715.38
TIGR00030	ribosomal protein bS21	21903.370000000006	23237.19	22773.46	20295.72	21618.269999999997	23626.210000000006
TIGR00031	UDP-galactopyranose mutase	3301.08	3698.12	2714.0	3440.07	3356.5	10294.71
TIGR00032	argininosuccinate synthase	35224.95	35391.33999999998	35519.8	35498.39	34371.85	38938.87999999998
TIGR00033	chorismate synthase	35756.95	35769.00999999999	36017.630000000005	35328.05	34837.52	38967.37999999998
TIGR00034	3-deoxy-7-phosphoheptulonate synthase	10343.65	10679.64	12440.46	6036.88	5123.700000000002	14513.24
TIGR00035	aspartate racemase	11544.09	12983.51	11091.03	10988.64	9127.79	13957.54
TIGR00036	4-hydroxy-tetrahydrodipicolinate reductase	35705.2	35727.58999999998	36001.3	34615.14	34760.6	38908.09
TIGR00037	translation elongation factor IF5A	4086.0	4482.17	3857.17	2769.83	4857.67	2321.5
TIGR00038	translation elongation factor P	34314.61	33433.340000000004	36024.72	35284.539999999986	32333.719999999994	38170.45
TIGR00039	6-pyruvoyl tetrahydropterin synthase/QueD family protein	17871.27	19306.42	18756.06	15136.32	19842.879999999994	12932.63
TIGR00040	phosphodiesterase, MJ0936 family	30416.300000000007	33045.880000000005	29082.97	28999.59	33367.759999999995	22104.46
TIGR00041	dTMP kinase	31739.930000000004	31278.089999999986	32177.92	31392.26	30562.369999999995	36467.51
TIGR00042	non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family	36911.12	37114.50999999999	37196.46	37685.47	36610.02	39327.55
TIGR00043	rRNA maturation RNase YbeY	32821.450000000004	32629.339999999997	33327.960000000014	34904.97	31748.349999999984	36715.38
