ID	Taxonomy
EC:1.1.1.325	Sepiapterin reductase (L-threo-7,8-dihydrobiopterin forming)
EC:1.14.99.29	Deoxyhypusine monooxygenase
EC:1.3.5.5	15-cis-phytoene desaturase
EC:2.1.1.260	rRNA small subunit pseudouridine methyltransferase Nep1
EC:2.3.1.4	Glucosamine-phosphate N-acetyltransferase
EC:2.4.1.217	Mannosyl-3-phosphoglycerate synthase
EC:2.5.1.2	Thiamine pyridinylase
EC:3.2.1.6	Endo-1,3(4)-beta-glucanase
EC:3.5.3.15	Protein-arginine deiminase
EC:4.2.1.107	hydratase
EC:4.4.1.14	1-aminocyclopropane-1-carboxylate synthase
