ID	Taxonomy
EC:1.1.1.313	Sulfoacetaldehyde reductase
EC:1.1.1.8	Glycerol-3-phosphate dehydrogenase (NAD(+))
EC:1.1.1.82	Malate dehydrogenase (NADP(+))
EC:1.14.11.39	L-asparagine oxygenase
EC:1.14.15.11	Pentalenic acid synthase
EC:1.14.15.13	Pulcherriminic acid synthase
EC:1.3.1.21	7-dehydrocholesterol reductase
EC:1.6.2.2	Cytochrome-b5 reductase
EC:2.1.1.224	23S rRNA (adenine(2503)-C(8))-methyltransferase
EC:2.1.1.243	2-ketoarginine methyltransferase
EC:2.1.1.4	Acetylserotonin O-methyltransferase
EC:2.3.1.200	Lipoyl amidotransferase
EC:2.3.1.222	Phosphate propanoyltransferase
EC:2.3.2.10	UDP-N-acetylmuramoylpentapeptide-lysine N(6)-alanyltransferase
EC:2.3.2.21	Cyclo(L-tyrosyl-L-tyrosyl) synthase
EC:2.4.1.144	Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase
EC:2.6.1.46	Diaminobutyrate--pyruvate transaminase
EC:2.7.1.163	Hygromycin B 4-O-kinase
EC:2.7.8.36	transferase
EC:2.8.2.1	Aryl sulfotransferase
EC:3.1.4.12	Sphingomyelin phosphodiesterase
EC:3.2.1.68	Isoamylase
EC:3.2.2.3	Uridine nucleosidase
EC:3.4.24.56	Insulysin
EC:4.1.1.29	Sulfinoalanine decarboxylase
EC:4.1.1.76	Arylmalonate decarboxylase
EC:4.1.2.56	2-amino-4,5-dihydroxy-6-oxo-7-(phosphonooxy)heptanoate synthase
EC:4.1.99.20	3-amino-4-hydroxybenzoate synthase
EC:4.3.1.29	D-glucosaminate-6-phosphate ammonia lyase
EC:6.3.2.38	N(2)-citryl-N(6)-acetyl-N(6)-hydroxylysine synthase
EC:6.3.2.39	Aerobactin synthase
