ID	Taxonomy
EC:1.1.1.163	Cyclopentanol dehydrogenase
EC:1.1.1.21	Aldehyde reductase
EC:1.1.1.307	D-xylose reductase
EC:1.12.5.1	Hydrogen:quinone oxidoreductase
EC:1.2.1.80	Long-chain acyl-[acyl-carrier-protein] reductase
EC:1.3.1.24	Biliverdin reductase
EC:1.3.1.33	Protochlorophyllide reductase
EC:1.3.1.58	2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenase
EC:1.3.7.5	Phycocyanobilin:ferredoxin oxidoreductase
EC:1.8.7.2	Ferredoxin:thioredoxin reductase
EC:2.1.1.204	tRNA (cytosine(38)-C(5))-methyltransferase
EC:2.1.1.295	2-methyl-6-phytyl-1,4-hydroquinone methyltransferase
EC:2.3.1.202	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase
EC:2.4.1.186	Glycogenin glucosyltransferase
EC:2.4.99.19	Undecaprenyl-diphosphooligosaccharide--protein glycotransferase
EC:2.5.1.84	All-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific)
EC:2.5.1.85	specific)
EC:3.2.1.169	Protein O-GlcNAcase
EC:3.6.1.57	UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase
EC:4.1.99.5	Aldehyde oxygenase (deformylating)
EC:4.2.3.90	5-epi-alpha-selinene synthase
