ID	Taxonomy
EC:1.11.1.1	NADH peroxidase
EC:1.13.11.46	4-hydroxymandelate synthase
EC:1.14.12.15	Terephthalate 1,2-dioxygenase
EC:1.3.1.53	(3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate dehydrogenase
EC:2.1.1.95	Tocopherol O-methyltransferase
EC:2.3.2.5	Glutaminyl-peptide cyclotransferase
EC:2.4.1.321	Cellobionic acid phosphorylase
EC:2.4.1.44	Lipopolysaccharide 3-alpha-galactosyltransferase
EC:2.6.1.100	L-glutamine:2-deoxy-scyllo-inosose aminotransferase
EC:2.6.1.101	L-glutamine:3-amino-2,3-dideoxy-scyllo-inosose aminotransferase
EC:2.6.1.105	Lysine--8-amino-7-oxononanoate transaminase
EC:2.7.1.179	Kanosamine kinase
EC:3.1.6.4	N-acetylgalactosamine-6-sulfatase
EC:3.2.1.76	L-iduronidase
EC:4.1.1.41	Methylmalonyl-CoA decarboxylase
EC:4.2.2.10	Pectin lyase
EC:5.5.1.7	Chloromuconate cycloisomerase
