ID	Taxonomy
K00002	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
K00005	gldA; glycerol dehydrogenase [EC:1.1.1.6]
K00007	dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00008	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00014	aroE; shikimate dehydrogenase [EC:1.1.1.25]
K00018	hprA; glycerate dehydrogenase [EC:1.1.1.29]
K00019	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00021	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00023	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
K00029	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00034	gdh; glucose 1-dehydrogenase [EC:1.1.1.47]
K00035	gal; D-galactose 1-dehydrogenase [EC:1.1.1.48]
K00041	uxaB; tagaturonate reductase [EC:1.1.1.58]
K00045	E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]
K00046	idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]
K00048	fucO; lactaldehyde reductase [EC:1.1.1.77]
K00055	E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]
K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K00060	tdh; threonine 3-dehydrogenase [EC:1.1.1.103]
K00064	E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
K00066	algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132]
K00077	panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]
K00087	ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]
K00088	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]
K00090	ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]
K00091	E1.1.1.219; dihydroflavonol-4-reductase [EC:1.1.1.219]
K00096	araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]
K00097	pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00098	idnD; L-idonate 5-dehydrogenase [EC:1.1.1.264]
K00099	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
K00112	glpB; glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]
K00113	glpC; glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]
K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
K00122	FDH; formate dehydrogenase [EC:1.17.1.9]
K00125	fdhB; formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]
K00126	fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9]
K00127	fdoI, fdsG; formate dehydrogenase subunit gamma
K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00129	E1.2.1.5; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
K00137	prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19]
K00141	xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]
K00146	feaB; phenylacetaldehyde dehydrogenase [EC:1.2.1.39]
K00147	proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
K00148	fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]
K00150	gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
K00153	E1.1.1.306; S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]
K00154	E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]
K00156	poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
K00169	porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
K00172	porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
K00174	korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]
K00175	korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]
K00177	korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]
K00179	iorA; indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]
K00180	iorB; indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]
K00184	K00184; prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit
K00185	K00185; prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit
K00186	vorA; 2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.7]
K00188	vorD; 2-oxoisovalerate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.7]
K00196	cooF; anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
K00201	fwdB, fmdB; formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]
K00202	fwdC, fmdC; formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]
K00205	fwdF, fmdF; 4Fe-4S ferredoxin
K00209	fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]
K00210	E1.3.1.12; prephenate dehydrogenase [EC:1.3.1.12]
K00211	TYR1; prephenate dehydrogenase (NADP+) [EC:1.3.1.13]
K00216	entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00217	E1.3.1.32; maleylacetate reductase [EC:1.3.1.32]
K00219	fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]
K00220	tyrC; cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]
K00227	SC5DL, ERG3; Delta7-sterol 5-desaturase [EC:1.14.19.20]
K00230	hemG; menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]
K00231	PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]
K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit
K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit
K00248	ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]
K00249	ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]
K00253	IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
K00254	DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]
K00255	ACADL; long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]
K00256	E1.3.99.16; isoquinoline 1-oxidoreductase [EC:1.3.99.16]
K00257	mbtN, fadE14; acyl-ACP dehydrogenase [EC:1.3.99.-]
K00260	gudB, rocG; glutamate dehydrogenase [EC:1.4.1.2]
