ID	Taxonomy
TIGR00002	ribosomal protein bS16
TIGR00003	copper ion binding protein
TIGR00005	pseudouridine synthase, RluA family
TIGR00006	16S rRNA (cytosine(1402)-N(4))-methyltransferase
TIGR00008	translation initiation factor IF-1
TIGR00009	ribosomal protein bL28
TIGR00010	hydrolase, TatD family
TIGR00016	acetate kinase
TIGR00019	peptide chain release factor 1
TIGR00020	peptide chain release factor 2
TIGR00022	YhcH/YjgK/YiaL family protein
TIGR00024	putative phosphoesterase
TIGR00025	ABC transporter efflux protein, DrrB family
TIGR00026	deazaflavin-dependent oxidoreductase, nitroreductase family
TIGR00029	ribosomal protein bS20
TIGR00032	argininosuccinate synthase
TIGR00033	chorismate synthase
TIGR00034	3-deoxy-7-phosphoheptulonate synthase
TIGR00036	4-hydroxy-tetrahydrodipicolinate reductase
TIGR00037	translation elongation factor IF5A
TIGR00038	translation elongation factor P
TIGR00039	6-pyruvoyl tetrahydropterin synthase/QueD family protein
TIGR00040	phosphodiesterase, MJ0936 family
TIGR00043	rRNA maturation RNase YbeY
TIGR00044	pyridoxal phosphate enzyme, YggS family
TIGR00045	glycerate kinase
TIGR00046	RNA methyltransferase, RsmE family
TIGR00049	iron-sulfur cluster assembly accessory protein
TIGR00051	acyl-CoA thioester hydrolase, YbgC/YbaW family
TIGR00052	nudix-type nucleoside diphosphatase, YffH/AdpP family
TIGR00055	di-trans,poly-cis-decaprenylcistransferase
TIGR00056	ABC transport permease subunit
TIGR00057	tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family
TIGR00059	ribosomal protein bL17
TIGR00060	ribosomal protein uL18
TIGR00061	ribosomal protein bL21
TIGR00062	ribosomal protein bL27
TIGR00065	cell division protein FtsZ
TIGR00069	histidinol dehydrogenase
TIGR00070	ATP phosphoribosyltransferase
TIGR00071	tRNA pseudouridine(38-40) synthase
TIGR00072	hydrogenase maturation protease
TIGR00073	hydrogenase accessory protein HypB
TIGR00074	hydrogenase assembly chaperone HypC/HupF
TIGR00075	hydrogenase expression/formation protein HypD
TIGR00079	peptide deformylase
TIGR00082	ribosome-binding factor A
TIGR00083	riboflavin biosynthesis protein RibF
TIGR00084	Holliday junction DNA helicase RuvA
TIGR00086	SsrA-binding protein
TIGR00087	5/3-nucleotidase SurE
TIGR00088	tRNA (guanine(37)-N(1))-methyltransferase
TIGR00089	radical SAM methylthiotransferase, MiaB/RimO family
TIGR00091	tRNA (guanine-N(7)-)-methyltransferase
TIGR00092	GTP-binding protein YchF
TIGR00093	pseudouridine synthase
TIGR00094	tRNA pseudouridine synthase, TruD family
TIGR00097	hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
TIGR00099	Cof-like hydrolase
TIGR00100	hydrogenase nickel insertion protein HypA
TIGR00101	urease accessory protein UreG
TIGR00103	DNA-binding protein, YbaB/EbfC family
TIGR00105	ribosomal protein bL31
TIGR00106	uncharacterized protein, MTH1187 family
TIGR00107	purine nucleoside phosphorylase
TIGR00109	ferrochelatase
TIGR00110	dihydroxy-acid dehydratase
TIGR00111	mRNA surveillance protein pelota
TIGR00115	trigger factor
TIGR00116	translation elongation factor Ts
TIGR00118	acetolactate synthase, large subunit, biosynthetic type
TIGR00119	acetolactate synthase, small subunit
TIGR00120	glutamate N-acetyltransferase/amino-acid acetyltransferase
TIGR00121	biotin--[acetyl-CoA-carboxylase] ligase
TIGR00122	biotin operon repressor
TIGR00123	cobalamin biosynthesis protein CbiM
TIGR00125	cytidyltransferase-like domain
TIGR00126	deoxyribose-phosphate aldolase
TIGR00137	tRNA:m(5)U-54 methyltransferase
TIGR00138	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG
