ID	Taxonomy
K00152	nahF; salicylaldehyde dehydrogenase [EC:1.2.1.65]
K00222	TM7SF2, ERG24; Delta14-sterol reductase [EC:1.3.1.70]
K00476	ASPH; aspartate beta-hydroxylase [EC:1.14.11.16]
K00646	pksF; malonyl-ACP decarboxylase
K01143	E3.1.11.3; exodeoxyribonuclease (lambda-induced) [EC:3.1.11.3]
K01312	PRSS1_2_3; trypsin [EC:3.4.21.4]
K01340	E3.4.21.59; tryptase [EC:3.4.21.59]
K01731	pelW; pectate disaccharide-lyase [EC:4.2.2.9]
K01757	STR1; strictosidine synthase [EC:4.3.3.2]
K02465	gspS; general secretion pathway protein S
K02531	lacT; transcriptional antiterminator
K02545	mecA; penicillin-binding protein 2 prime [EC:3.4.16.4]
K02546	mecI; BlaI family transcriptional regulator, methicillin resistance regulatory protein
K02547	mecR1; methicillin resistance protein
K02771	PTS-Fru1-EIID, levG; PTS system, fructose-specific IID component
K03126	TAF12; transcription initiation factor TFIID subunit 12
K03280	waaK, rfaK; UDP-N-acetylglucosamine:(glucosyl)LPS alpha-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.56]
K04109	hcrB, hbaD; 4-hydroxybenzoyl-CoA reductase subunit beta [EC:1.3.7.9]
K04641	bop; bacteriorhodopsin
K04705	STAM; signal transducing adaptor molecule
K05747	WAS; Wiskott-Aldrich syndrome protein
K05759	PFN; profilin
K05998	E3.4.21.100; pseudomonalisin [EC:3.4.21.100]
K05999	E3.4.21.101; xanthomonalisin [EC:3.4.21.101]
K06372	sinI; antagonist of SinR
K06931	K06931; uncharacterized protein
K07125	K07125; uncharacterized protein
K07255	tauX; taurine dehydrogenase small subunit [EC:1.4.2.-]
K07430	CYP7B; 25/26-hydroxycholesterol 7alpha-hydroxylase [EC:1.14.14.29]
K07485	K07485; transposase
K07748	E1.1.1.170, NSDHL, ERG26; sterol-4alpha-carboxylate 3-dehydrogenase (decarboxylating) [EC:1.1.1.170]
K08246	CPI1; cycloeucalenol cycloisomerase [EC:5.5.1.9]
K08259	lytM; lysostaphin [EC:3.4.24.75]
K08280	wbbJ; lipopolysaccharide O-acetyltransferase [EC:2.3.1.-]
K08566	pla; plasminogen activator [EC:3.4.23.48]
K08689	bphAa, bphA1, bphA; biphenyl 2,3-dioxygenase subunit alpha [EC:1.14.12.18]
K09147	K09147; uncharacterized protein
K09591	DET2; steroid 5-alpha-reductase [EC:1.3.1.22]
K10209	crtN; 4,4-diapophytoene desaturase [EC:1.3.8.2]
K10208	0.00	0.00	312.00	crtM; 4,4-diapophytoene synthase [EC:2.5.1.96]
K10682	saeR; two-component system, OmpR family, response regulator SaeR
K10814	hcnA; hydrogen cyanide synthase HcnA [EC:1.4.99.5]
K10815	hcnB; hydrogen cyanide synthase HcnB [EC:1.4.99.5]
K10816	hcnC; hydrogen cyanide synthase HcnC [EC:1.4.99.5]
K10918	aphB; LysR family transcriptional regulator, transcriptional activator AphB
K10921	toxR; cholera toxin transcriptional activator
K11168	DHRS12; dehydrogenase/reductase SDR family member 12 [EC:1.1.-.-]
K11187	PRDX5; peroxiredoxin 5, atypical 2-Cys peroxiredoxin [EC:1.11.1.15]
K11195	PTS-Fru1-EIIB, levE; PTS system, fructose-specific IIB component [EC:2.7.1.202]
K11196	PTS-Fru1-EIIC, levF; PTS system, fructose-specific IIC component
