ID	Taxonomy
K00011	AKR1B; aldehyde reductase [EC:1.1.1.21]
K00329	E1.6.5.3; NADH dehydrogenase [EC:1.6.5.3]
K00476	ASPH; aspartate beta-hydroxylase [EC:1.14.11.16]
K00683	QPCT; glutaminyl-peptide cyclotransferase [EC:2.3.2.5]
K00695	E2.4.1.13; sucrose synthase [EC:2.4.1.13]
K00785	lst; beta-galactosamide-alpha-2,3-sialyltransferase [EC:2.4.99.-]
K01217	IDUA; L-iduronidase [EC:3.2.1.76]
K01340	E3.4.21.59; tryptase [EC:3.4.21.59]
K01757	STR1; strictosidine synthase [EC:4.3.3.2]
K01860	E5.5.1.7; chloromuconate cycloisomerase [EC:5.5.1.7]
K01947	birA-coaX; biotin---[acetyl-CoA-carboxylase] ligase / type III pantothenate kinase [EC:6.3.4.15 2.7.1.33]
K02101	araL; arabinose operon protein AraL
K02184	FMN2; formin 2
K02506	hofD, hopD; leader peptidase HopD [EC:3.4.23.43]
K02538	manR; activator of the mannose operon, transcriptional antiterminator
K02545	mecA; penicillin-binding protein 2 prime [EC:3.4.16.4]
K02812	PTS-Sor-EIIA, sorF; PTS system, sorbose-specific IIA component [EC:2.7.1.206]
K04128	cmcH; hydroxymethyl cephem carbamoyltransferase [EC:2.1.3.7]
K04340	strB1; scyllo-inosamine-4-phosphate amidinotransferase 1 [EC:2.1.4.2]
K04551	UBB; ubiquitin B
K04573	NEF3, NF-M; neurofilament medium polypeptide (neurofilament 3)
K04783	irp5, ybtE; yersiniabactin salicyl-AMP ligase [EC:6.3.2.-]
K05557	actVA1; MFS transporter, DHA2 family, integral membrane protein
K05865	TNNC1; troponin C, slow skeletal and cardiac muscles
K05922	hydB; quinone-reactive Ni/Fe-hydrogenase large subunit [EC:1.12.5.1]
K05927	hydA; quinone-reactive Ni/Fe-hydrogenase small subunit [EC:1.12.5.1]
K05999	E3.4.21.101; xanthomonalisin [EC:3.4.21.101]
K06146	idnR, gntH; LacI family transcriptional regulator, gluconate utilization system Gnt-II transcriptional activator
K06157	idnT; Gnt-II system L-idonate transporter
K06322	cgeD; spore maturation protein CgeD
K06323	cgeE; spore maturation protein CgeE
K06338	cotSA; spore coat protein SA
K06372	sinI; antagonist of SinR
K06420	sspC; small acid-soluble spore protein C (minor alpha/beta-type SASP)
K06493	ITGB3, CD61; integrin beta 3
K06599	chpD; AraC family transcriptional regulator, chemosensory pili system protein ChpD
K06790	GPA33; cell surface A33 antigen
K06882	K06882; uncharacterized protein
K07125	K07125; uncharacterized protein
K07288	tspA; uncharacterized membrane protein
K07453	K07453; putative restriction endonuclease
K07499	K07499; putative transposase
K07698	kinC; two-component system, sporulation sensor kinase C [EC:2.7.13.3]
K08077	NUDT14; UDP-sugar diphosphatase [EC:3.6.1.45]
K08087	fimW; fimbrial protein FimW
K08088	fimY; fimbrial protein FimY
K08174	glcP; MFS transporter, FHS family, glucose/mannose:H+ symporter
K08193	SLC17A; MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), other
K08259	lytM; lysostaphin [EC:3.4.24.75]
K08566	pla; plasminogen activator [EC:3.4.23.48]
K08762	DBI, ACBP; diazepam-binding inhibitor (GABA receptor modulator, acyl-CoA-binding protein)
K08770	UBC; ubiquitin C
K09565	PPIF; peptidyl-prolyl isomerase F (cyclophilin D) [EC:5.2.1.8]
K09805	K09805; uncharacterized protein
K09860	K09860; uncharacterized protein
K09944	K09944; uncharacterized protein
K10156	eizS; epi-isozizaene synthase [EC:4.2.3.37]
K10209	crtN; 4,4-diapophytoene desaturase [EC:1.3.8.2]
K10208	0.00	312.00	crtM; 4,4-diapophytoene synthase [EC:2.5.1.96]
K10619	cmtAb; p-cumate 2,3-dioxygenase subunit alpha [EC:1.14.12.25]
K10620	cmtB; 2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenase [EC:1.3.1.58]
K10623	cmtE; HOMODA hydrolase [EC:3.7.1.-]
K10677	E4.2.2.17; inulin fructotransferase (DFA-I-forming) [EC:4.2.2.17]
K10681	saeS; two-component system, OmpR family, sensor histidine kinase SaeS [EC:2.7.13.3]
K10682	saeR; two-component system, OmpR family, response regulator SaeR
K10814	hcnA; hydrogen cyanide synthase HcnA [EC:1.4.99.5]
K10815	hcnB; hydrogen cyanide synthase HcnB [EC:1.4.99.5]
K10816	hcnC; hydrogen cyanide synthase HcnC [EC:1.4.99.5]
K10873	RAD52; DNA repair and recombination protein RAD52
K10917	aphA; PadR family transcriptional regulator, regulatory protein AphA
K10921	toxR; cholera toxin transcriptional activator
K11018	tlh; thermolabile hemolysin
K11410	acdH; short/branched chain acyl-CoA dehydrogenase [EC:1.3.99.12]
K11440	gbsB; choline dehydrogenase [EC:1.1.1.1]
K11640	natK; two-component system, LytTR family, sensor histidine kinase NatK [EC:2.7.13.3]
K11641	natR; two-component system, LytTR family, response regulator NatR
K12069	traA; conjugal transfer pilus assembly protein TraA
K12227	K12227, traL; TraL protein
K12250	E4.2.3.7; pentalenene synthase [EC:4.2.3.7]
K12431	pks2; polyketide synthase 2
K12442	ppsC; phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase C
K12645	CYP170A; epi-isozizaene 5-monooxygenase / beta-farnesene synthase [EC:1.14.13.106 4.2.3.47]
